pmid,title,abstract,pub_year,journal,toxicant,organs,health_effects,products,ingredients,inference,relevant,relevance_reason
41734853,Production of pure all-trans retinal from agricultural byproducts by metabolically engineered Corynebacterium glutamicum using two-phase cultivation.,"Retinoids, including retinal, retinol (vitamin A), and retinoic acid, comprise vitamin A and its biologically active metabolites, which are widely used in pharmaceutical, healthcare, and cosmetic applications. Among these, retinal has attracted increasing attention in skincare applications because of its favorable combination of high biological efficacy with low skin irritation, and its potent antibacterial activity. However, microbial production of retinal generally yields mixtures with other retinoids and requires expensive nutrient media. Here, we report the production of pure retinal from agricultural byproducts using metabolically engineered Corynebacterium glutamicum. A lycopene producer, serving as a retinal precursor, was constructed by blocking the downstream pathway and enhancing carotenoid biosynthesis. Two genes converting lycopene to retinal via β-carotene were introduced to construct a retinal producer. Since retinal is fat-soluble and easily oxidized, a two-phase cultivation system using n-dodecane and butylated hydroxytoluene was employed for in-situ extraction and stabilization. The optimal temperature for retinal production was identified as 21 °C, yielding a 2.6-fold higher volumetric production rate than that at the optimal growth temperature, 30 °C. Using molasses as a carbon and vitamin source, shake-flask cultivation yielded 30.7 mg/L retinal, calculated based on the volume of the aqueous phase, without the formation of other retinoids. Scale-up cultivation in a 2.5-L jar fermenter produced 104.9 mg/L retinal (2,099 mg/L in n-dodecane phase) from molasses, again without forming other retinoids. This study demonstrates a cost-effective and sustainable bio-based strategy for producing pure retinal from renewable resources, paving the way for its industrial bio-based manufacture.",2026,Bioresource technology,bha_bht,skin | eye,unspecified,unspecified,retinol,cosmetics product study | industrial/occupational,,
41201750,Removal of fillers and chemical reagents from waste paper for its sustainable use.,"Waste paper represents a valuable secondary source of cellulose fibres, contributing to the reduction of virgin wood consumption in paper production. To support sustainable development objectives, the integration of natural fibres with synthetic polymers is increasingly explored across industrial sectors. Reliable use of waste paper materials requires baseline data on pollutant content and migration potential. In this study, cellulose fibres were separated using 0.2 M acetic acid (CH<sub>3</sub>COOH) extraction, followed by washing. This method effectively removed precipitated calcium carbonate-based filler from office paper, achieving an extraction efficiency of 86%. A total of 138 compounds were identified in waste paper, originating from: virgin wood (n = 31), paper manufacturing and recycling processes (n = 19 + 15 fragrance compounds), and printing inks (n = 67), with solvents (n = 25) forming the largest subgroup. Additional substances were associated with surface treatments and ink formulations. Compound hazard profiles were assessed using the Globally Harmonized System (GHS). The identified substances were, among others, persistent organic pollutants, including benzophenone, butylated hydroxytoluene, and bis(2-ethylhexyl) phthalate, bisphenol A, and bisphenol S, while solvents exhibited the highest proportion of hazardous classifications. Following CH<sub>3</sub>COOH extraction, concentrations of hazardous solvents were reduced by 93%, indicating the method's potential for pollutant mitigation in fibre recovery.",2025,Environmental science and pollution research international,bha_bht,unspecified,unspecified,unspecified,unspecified,industrial/occupational,,
40911742,Dermatological Safety of Cosmetic Products Marketed to Children: Insights on the Sephora Kids Phenomenon.,"The ""Sephora Kids"" trend, where children, especially tweens and teens, are increasingly using makeup and skincare products marketed by beauty retailers, presents notable dermatological challenges. Although these products can facilitate self-expression and teach self-care, their safety and efficacy for young users are largely unverified. This review examines 4 key ingredients commonly found in these products,retinol, exfoliating acids (AHA and BHA), and vitamin C, to assess their implications for pediatric skincare. Current literature and FDA-approved guidelines indicate that these ingredients have not been thoroughly tested in children. Consequently, using these products without medical supervision can pose risks such as skin redness, irritation, heightened sun sensitivity, dermatitis, and other potential adverse effects. This review underscores the importance of cautious use and highlights the need for further research to ensure the safety of these ingredients in young populations. By informing healthcare providers and consumers of these risks, we aim to promote safer skincare practices among children.",2025,Journal of drugs in dermatology : JDD,bha_bht,skin,unspecified,unspecified,retinol | vitamin C | glycolic acid,cosmetics product study,,
40752795,Chemical composition of Torreya grandis essential oils and enantiomeric analysis of key monoterpenes.,"This study chemically characterized three Torreya grandis (T. grandis) essential oil samples provided by Zhengmao Ecological Agriculture Development Co. (Hubei, China), obtained through their standardized steam distillation of: (1) fresh arils, (2) dried arils, and (3) combined leaves/twigs. GC-MS analysis identified 107 terpenoid compounds, with limonene (210.96-328.05 mg/mL) and α-pinene (131.30-237.40 mg/mL) as dominant constituents. Five secondary components (β-pinene, 3-carene, β-myrcene, terpinolene, δ-cadinene) consistently occurred at 10-100 mg/mL. Chiral resolution demonstrated enantiomeric specificity: (-)-α-pinene showed tissue-dependent enrichment (78 % ee in arils vs. 29 % in leaves/twigs), whereas (R)-(+)-limonene maintained near-enantiopurity (∼96 % ee) across all samples. Isolation and optical rotation analysis confirmed (+)-torreyol in leaf/twig oils. Bioactivity assessments revealed concentration-dependent antioxidant capacity (2,2-diphenyl-1-picrylhydrazyl (DPPH) scavenging up to 89 % at 100 mg/mL) and selective antibacterial effects, with aril oils exhibiting strong inhibition against Staphylococcus aureus (S. aureus) (30.16 mm zone) but limited activity against Escherichia coli (E. coli), though less potent than BHT (IC<sub>50</sub> 40.73-64.77 mg/mL vs. 94 μg/mL). The distinct enantiomeric patterns and abundant bioactive terpenoids highlight T. grandis essential oils as sustainable, high-value ingredients for flavor/fragrance industries, motivating further research into their biosynthetic regulation and commercial optimization.",2025,Fitoterapia,bha_bht,unspecified,oxidative stress,unspecified,unspecified,analytical/method study,,
40708531,Technological and functional properties of exopolysaccharides produced by <i>Weissella confusa</i> strains isolated from <i>kunu-zaki -</i>A cereal-based Nigerian fermented beverage.,"Exopolysaccharides (EPS) are gaining attention as natural additives in foods, pharmaceuticals, and cosmetics. However, limited research exists on EPS from lactic acid bacteria in traditional Nigerian fermented beverages like <i>kunu-zaki</i>. This study characterized the technological and functional properties of EPS produced by <i>Weissella confusa</i> YKDIA1 and YKDIA4 isolated from <i>kunu-zaki</i>. Antioxidant activities were assessed using ABTS<sup>+</sup>, FRAP, total antioxidant capacity (TAC), and DPPH assays, while hypoglycemic potential was evaluated through α-amylase and α-glucosidase inhibition. The results revealed significant antioxidant activities for YKDIA1-EPS and YKDIA4-EPS, including ABTS<sup>+</sup> (1.61 ± 0.16 mg/ml), FRAP (10.74 ± 0.36 mg AAE/g), TAC (44.19 ± 0.54 mg AAE/g), and DPPH (0.77 ± 0.04 mg/ml). YKDIA4-EPS showed superior inhibitory effects on α-amylase (0.97 ± 0.02 mg/ml) and α-glucosidase (1.25 ± 0.04 mg/ml). Both EPS exhibit antioxidative and antidiabetic activities, suggesting their potential for nutraceutical formulation. Additionally, they possess valuable physical and bioactive properties suitable for various applications. EPS from <i>W. confusa</i> YKDIA1 and YKDIA4 could replace synthetic antioxidants like butylated hydroxytoluene and butylated hydroxyanisole in food, cosmetic, and therapeutic products, providing a safer, natural alternative.",2025,Food science and technology international = Ciencia y tecnologia de los alimentos internacional,bha_bht,unspecified,oxidative stress,unspecified,lactic acid,cosmetics product study | clinical/hospital study,,
40490897,"Investigating the dual functions of butylated hydroxytoluene, vitamin E and vitamin C as antioxidants and anti-glycation agents in vitro: Implications for skin health.","Antioxidants are vital in skincare for neutralizing reactive oxygen species (ROS), which impact key cellular structures, such as cell nuclei and elastic fibres and can contribute to skin ageing. Oxidative stress, compounded by processes such as glycation, therefore leads to impaired cellular renewal and reduced skin elasticity. The effectiveness of antioxidants depends on their concentrations, making it essential to investigate their dosage-related benefits to optimize skincare formulations. This raises an important question regarding the reciprocal effects of antioxidants on glycation and whether their protective effects against macromolecular damage are dose-dependent. This study evaluated the antioxidant and anti-glycation effects of three concentrations of butylated hydroxytoluene (BHT), vitamin E and vitamin C. Using the established quantitative assays and immunofluorescence, total antioxidant capacities, the intracellular ROS production, glycation levels and expression of cellular biomarkers were measured in dermal fibroblasts and three-dimensional skin models cultured with methylglyoxal (MGO). All three antioxidants showed a significant ability to inhibit the formation of intracellular ROS and glycation products induced by MGO. Notably, there were differences in the concentrations required to defend against glycation-induced damage. Whilst the linear dose responses were observed for ROS and glycation inhibition, the protective effect against cellular damage was moderate. The inverse dose-response relationships, particularly in terms of collagen fibre preservation, suggested that higher total antioxidant capacity could have enhanced protective effects. Vitamin C, in particular, exhibited the most pronounced benefits at lower concentrations, suggesting its potential as a key player in combating glycation damage. The potentially novel aspect of this research lies in the synergistic relationship between the modulation of oxidative stress and glycation. This relationship significantly depends on the concentration of the molecules involved and their antioxidant properties. These findings may lead to more refined approaches in formulating active ingredients tailored to individual needs in personalized skincare.",2025,International journal of cosmetic science,bha_bht,skin,oxidative stress,unspecified,vitamin C | vitamin E | collagen,biomonitoring study,,
39479651,Improving oxidative stability of cream powder using pomegranate concentrate and peel extract.,"In this study, the influence of pomegranate peel extract (PPE) and pomegranate concentrate (PC) on improving the oxidative stability of cream powder in comparison with synthetic antioxidant (Butylated hydroxytoluene (BHT)) during the storage period at 20°C (8 weeks) and 45°C (4 weeks) was evaluated. The finding exhibited that peroxide, <i>p</i>-anisidine, and total oxidation (TOTOX) values increased during the storage period. Samples containing PPE and PC showed suitable performance in controlling the cream powder oxidation. Also, PPE showed the highest antioxidant activity and can be proposed as a suitable replacement for a synthetic antioxidant (BHT). L* and b* values increased, while a* value decreased during the storage period. Also, the pH of the powders decreased significantly throughout the storage (reached nearly 6). Microbial counts of cream powders did not change during the storage period. The control sample showed the highest overall acceptability. Antioxidants of pomegranate can be proposed to control the oxidative stability of fat-rich food products.",2024,Food science & nutrition,bha_bht,unspecified,oxidative stress,unspecified,unspecified,skin/topical study,,
39176472,Systematic Engineering to Enhance β-Myrcene Production in Yeast.,"β-Myrcene is an important monoterpene compound widely used in the fragrance, agricultural, and food industries. The microbial production of β-myrcene conforms to the trend of green biological manufacturing, which has great potential for development. The poor catalytic activity of β-myrcene synthase (MS) and the insufficient supply of precursors are considered to be the bottlenecks of β-myrcene production. Here, source screening, subcellular localization, enzyme fusion, and precursor-enhancing strategies were integrated for β-myrcene biosynthesis with <i>Saccharomyces cerevisiae</i>. The β-myrcene titer gradually increased by 218-fold (up to 63.59 mg/L) compared to that of the initial titer of the shake flask. Moreover, the titer reached 66.82 mg/L after the addition of antioxidants (1 mM glutathione, GSH, and 1% butylated hydroxytoluene, BHT). Ultimately, 142.64 mg/L β-myrcene in <i>S. cerevisiae</i> was achieved in 5.0 L of fed-batch fermentation under a carbon restriction strategy, which was the highest reported titer in yeast thus far. This study not only established a platform for β-myrcene production but also provided a reference for the efficient biosynthesis of other monoterpene compounds.",2024,Journal of agricultural and food chemistry,bha_bht,unspecified,oxidative stress,unspecified,unspecified,unclassified,,
38991433,Application of rosemary oil nano-emulsion as antimicrobial and antioxidant natural alternative in pasteurized cream and Karish cheese.,"Essential oils possess significant antimicrobial and antioxidant properties and are increasingly used as natural substitutes for food preservation. Therefore, this study investigated the potential application of rosemary essential oil (REO) and REO nano-emulsion in the dairy plant. The antimicrobial effects of REO and REO nano-emulsion were determined by an agar well diffusion assay after chemical profiling by Gas Chromatography-Mass Spectrometry (GC-MS). The REO nano-emulsion was characterized by a Transmission Electron Microscope (TEM). The REO chemical profile revealed the presence of 42 chemical compounds, including 1, 8-cineole (9.72 %), and α-pinene (5.46 %) as major active components. REO nano-emulsion demonstrated significant antimicrobial activity compared to REO (P < 0.05) with a MIC value of 0.0001 mg/ml against Listeria monocytogenes and Aspergillus flavus and 0.001 mg/ml against Pseudomonas aeruginosa and Bacillus cereus. REO nano-emulsion enhanced the oxidative stability of pasteurized fresh cream, revealing a non-significant difference compared with that inoculated with butylated hydroxy anisol (BHA; synthetic antioxidant) (P˃ 0.05). Fortified cream and Karish cheese with REO nano-emulsion were evaluated organoleptically, and the results showed higher grades of overall acceptability when compared to control samples with a statistically significant difference (P < 0.05). Viability studies were estimated using the previously mentioned microorganisms in fortified fresh cream and Karish cheese with REO nano-emulsion. Results of the fortified cream showed a complete reduction of L. monocytogenes, A. flavus, and B. cereus on days 5, 7, and 10, respectively, and a 96.93 % reduction of P. aeruginosa by the end of the storage period. Regarding Karish cheese viability studies, C. albicans, A. flavus, and P. aeruginosa exhibited complete reduction on days 10, 10, and 15 of storage, respectively. In conclusion, REO nano-emulsion was recommended as a natural, safe, and effective antimicrobial and antioxidant additive in the dairy industry.",2024,International journal of food microbiology,bha_bht,unspecified,oxidative stress,unspecified,unspecified,skin/topical study | analytical/method study,,
38557457,Market analysis of the presence of endocrine disrupting chemicals in cosmetic products intended for oncological patients and other vulnerable groups.,"There is growing concern about the presence of endocrine disrupting chemicals (EDCs) in cosmetics. We aimed to identify the main cosmetic ingredients with suspected endocrine-disrupting properties, and analyse their presence in current marketed products. Particular attention was given to products intended for susceptible (due to physiological status) and vulnerable (due to specific pathologies) groups with a view to informing cosmetologists and related health professionals of the scientific basis and current status of any concerns. Suspected EDCs used as cosmetic ingredients, included in lists published by regulatory agencies, were documented and investigated by weight of evidence analysis based on endocrine-related toxicity studies. In total, 49 suspected EDCs were identified from a sample of over a thousand cosmetic products marketed in the European Union. Suspected EDCs were found in approximately one third of products, with a similar frequency in products intended for susceptible and vulnerable groups. Avobenzone (CAS number:70356-09-1), octisalate (CAS number: 118-60-5), and butylated hydroxytoluene (CAS number: 128-37-0) were mostly commonly identified. The presence of EDCs was particularly high for sun care cosmetic products. Our results highlight potentially significant exposure through cosmetics to substances currently studied by regulatory institutions as suspected endocrine disrupters. EDCs are not yet universally regulated, and informing health professionals and educating the population as a precaution are options to reduce individual exposure levels, especially in vulnerable and susceptible groups. Special recommendations are needed for products intended for oncological patients.",2024,European journal of dermatology : EJD,bha_bht,unspecified,endocrine disruption,unspecified,sunscreen agent,cosmetics product study | clinical/hospital study,,
