pmid,title,abstract,pub_year,journal,toxicant,organs,health_effects,products,ingredients,inference,relevant,relevance_reason
41900811,"Cricket Oil-Based Sunscreen Systems: Formulation Design, Ultraviolet Protection Performance, and Preclinical Safety Evaluation.","<b>Background/Objectives:</b> Insect oils have gained attention as sustainable cosmetic ingredients due to their bioactive lipid content. This study aimed to characterize oils from cricket and to evaluate their safety, biological activities, and performance in sunscreen formulations. <b>Methods:</b> Oils were extracted from <i>Gryllus bimaculatus</i>, <i>Teleogryllus mitratus</i>, and <i>Acheta domesticus</i> by cold pressing following hot-air drying. Fatty acid composition was determined using gas chromatography-mass spectrometry. Safety was assessed by cytotoxicity testing in normal human dermal fibroblasts (NHDF) and the hen's egg chorioallantoic membrane (HET-CAM) assay. Antioxidant and anti-inflammatory activities were evaluated by intracellular reactive oxygen species (ROS) and nitric oxide (NO<sup>•</sup>) assays. Based on biological performance, <i>T. mitratus</i> oil (TMO) was incorporated into sunscreen creams containing physical and chemical ultraviolet (UV) filters. Physical stability, viscosity, pH, sun protection factor (SPF), persistent pigment darkening/ultraviolet A protection factor (PPD/UVA-PF), and blue light protection were evaluated. <b>Results:</b> All cricket oils were non-cytotoxic to NHDF cells and were classified as non-irritating in the HET-CAM assay. TMO exhibited the strongest antioxidant activity, reducing intracellular ROS and significantly inhibiting NO<sup>•</sup> production in lipopolysaccharide-stimulated cells. Only TMO showed measurable UVA protection (PPD/UVA-PF = 12.1, PA+++). Sunscreen creams formulated with TMO achieved higher photoprotective efficacy than olive oil-based creams, with SPF values up to 40.51 and PPD/UVA-PF up to 39.17. The inclusion of foundation pigments further increased SPF to 43.09 and enhanced blue light protection to 35.1%. <b>Conclusions:</b> TMO is a safe and effective multifunctional ingredient that enhances sunscreen performance and supports sustainable cosmetic formulation.",2026,Pharmaceutics,coal_tar,skin,oxidative stress,sunscreen | foundation,unspecified,cosmetics product study | sunscreen/UV filter study | skin/topical study | analytical/method study,,
41873286,Amniotic Membrane Versus Platelet-Rich Fibrin for the Treatment of Gingival Recession Using the Vestibular Incision Subperiosteal Tunnel Access Technique: A Randomized Controlled Clinical Trial.,"Background Gingival recession (GR) results in significant functional and cosmetic concerns and manifests as a disintegration of soft and hard tissues. Recently, clinical research has increasingly focused on the development of minimally invasive surgical approaches that optimize clinical outcomes, alongside the incorporation of biomaterials capable of providing appropriate biological cues to support regenerative potential. Our study aimed to compare the effectiveness of the vestibular incision subperiosteal tunnel access (VISTA) technique, either with amniotic membrane (AM) or platelet-rich fibrin (PRF), for the treatment of Cairo's RT 1 GR. Methods Seven systemically and periodontally healthy patients with Cairo's RT-1 GR at more than two adjacent teeth were recruited for the study. Patients were randomly assigned to Group I (PRF) and II (AM) (31 recession sites each). All recessions were treated with VISTA. Clinical parameters were measured at baseline and one, three, and six months after surgery, including pocket probing depth (PPD), recession height (RH), recession width (RW), width of keratinized gingiva (WKG), relative attachment level (RAL), and mean root coverage percent (MRC).  Results All clinical parameters demonstrated statistically significant differences in both groups from the pre-operative to the six-month follow-up phase. Except for PPD, there was no statistically significant difference between the two groups. In Group I, there was a significant increase in PPD after one month, which decreased at the six-month follow-up, while in Group II, there was a decrease in PPD from baseline to the six-month follow-up. Conclusion Both PRF and AM are effective in managing GR. Although AM showed slightly better results, it was statistically insignificant.",2026,Cureus,coal_tar,unspecified,unspecified,unspecified,unspecified,cosmetics product study | clinical/hospital study,,
41861892,"Discovery and mechanistic elucidation of 2,4-resorcinol-based potent human tyrosinase inhibitors through integrated experimental and computational approaches.","Tyrosinase is a copper-dependent enzyme essential for melanin biosynthesis and a validated target for managing hyperpigmentation. To discover potent inhibitors, we synthesized and screened 120 resorcinol-based analogues using mushroom tyrosinase (abTYR) assays and B16 melanoma cell models. This experimental workflow identified five promising candidates for further evaluation. Compound 3 consistently emerged as the lead inhibitor, demonstrating submicromolar potency against abTYR (IC<sub>50</sub> = 0.2 μM), strong cellular efficacy in suppressing melanogenesis (IC<sub>50</sub> = 1.6 μM) in B16 cells, and the broadest safety margin (LD<sub>50</sub> = 345.9 μM; TI ≈ 216). To elucidate its mechanism, a homology model of human tyrosinase (hsTYR) was constructed and analyzed through molecular docking, molecular dynamics simulations, and MM-PBSA free energy calculations, which confirmed stable interactions with the conserved binuclear copper center. These results highlight the value of combining experiment-driven prioritization with structure-guided modeling and identify compound 3 as a promising and selective inhibitor of hsTYR for therapeutic and cosmetic applications.",2026,International journal of biological macromolecules,coal_tar,unspecified,unspecified,unspecified,unspecified,cosmetics product study | clinical/hospital study,,
41807792,Oxidative stress-mediated DNA fragmentation involved in STING-dependent apoptosis in human keratinocytes by 5-amino-2-methylphenol under ambient UVB exposure.,"Permanent hair dyes are widely used cosmetic products, but they can pose health risks due to their potential to cause DNA damage, inflammation, and allergic reactions. 5-Amino-2-methylphenol (5AMP), a widely used coupler with documented skin sensitization, absorbs UVB, but its photochemical behaviour is insufficiently characterized and remains unassessed in regulatory phototoxicity reports. Preliminary data showed that 5AMP undergoes UVB-induced photodegradation, forming a new photoproduct confirmed by LC-MS/MS. Still, its potential to induce phototoxicity upon simultaneous skin contact and UV exposure remained unknown. We therefore investigated its phototoxicity and underlying mechanisms. In this study, we examined the phototoxic potential of 5AMP at two concentrations (5 and 10 µg/ml) in human keratinocytes under environmentally relevant UVB dose (0.018-2.16 J/cm<sup>2</sup>). Photosensitized 5AMP generated superoxide anion radicals via a type-I photodynamic mechanism, resulting in increased intracellular and mitochondrial ROS. Oxidative stress induced by photosensitized 5AMP disrupted mitochondrial membrane potential and induced DNA damage, culminating in apoptosis. Pretreatment with NAC/SOD mitigated photosensitized 5AMP-induced apoptosis. Further investigation into the molecular mechanisms revealed that the upregulation of cGAS, STING, and downstream gene expression triggered IFNβ production. Treatment with H151, an inhibitor of STING, significantly reduces IFNβ expression and cell death, confirming its key role in the phototoxicity mechanism. Therefore, we conclude that oxidative stress and subsequent cGAS-STING activation play a key role in photosensitized 5AMP-induced apoptosis. These insights into the mechanisms uncovered a critical gap in the safety assessment of photolabile hair dye ingredients under environmental UVB/sunlight exposure and underscore the need for safer alternatives.",2026,Archives of toxicology,coal_tar,skin | immune system,skin sensitization | oxidative stress | genotoxicity,hair dye,unspecified,cosmetics product study | hair product study | analytical/method study,,
41762604,A novel molecularly imprinted graphene-graphite conductive paper electrode for selective electrochemical detection of hyaluronic acid in cosmetic formulations.,"Hyaluronic acid (HA), a glycosaminoglycan widely used in cosmetic and healthcare formulations, is valued for its moisturizing, viscoelastic, and regenerative properties. Accurate determination of HA in commercial products has therefore been considered essential for quality control and regulatory compliance. Although several chromatographic and spectroscopic techniques have been employed for HA quantification, their use has been restricted by high operational cost, complex operation, and labour-intensive sample preparation. In this work, a low-cost, flexible, and disposable conductive paint-based paper (CPP) electrode modified with an electropolymerized hyaluronic acid-imprinted poly(p-phenylenediamine) film [HA-MI-P(p-PD)@CPP] has been fabricated for the selective detection of HA. The conductive paint was prepared by dispersing polyacrylate with a graphene nanosheet-graphite (GNS-g) composite in chloroform to yield a mechanically stable and highly conductive substrate. After electropolymerization, the template removal and rebinding processes were investigated using cyclic voltammetry (CV), differential pulse voltammetry (DPV), and electrochemical impedance spectroscopy (EIS) with the [Fe(CN)<sub>6</sub>]<sup>3-</sup>/[Fe(CN)<sub>6</sub>]<sup>4-</sup> redox couple. The analytical performance of the imprinted electrode was assessed from DPV signals obtained before and after exposure to varying HA concentrations. The method achieved a low limit of detection (LOD) of 0.009 μM and a limit of quantification (LOQ) of 0.032 μM, exhibiting two linear response ranges (0.1-60 μM and 60-1000 μM). High recoveries (97-104%) and an imprinting factor exceeding 3, confirmed strong selectivity against structurally related interferents. Its affordability, environmental compatibility, and reliable sensing capability highlight its potential for on-site monitoring of HA in cosmetic and healthcare products.",2026,Talanta,coal_tar,unspecified,unspecified,unspecified,hyaluronic acid,cosmetics product study | analytical/method study,,
41658820,Progressive Thickening of the Fingers in Adolescence: A Case Report of a Rare Entity.,"Pachydermodactyly (PPD) is a rare, benign digital fibromatosis that predominantly affects adolescent males and can mimic inflammatory or rheumatologic disorders. We report a case of a 16-year-old male with a six-year history of painless, progressive periarticular thickening of the hands and feet, primarily involving the second through fourth interphalangeal joints. The patient reported repetitive mechanical exposure associated with basketball and video game use. Laboratory studies, imaging, and a skin biopsy were performed to exclude alternative diagnoses. Histopathology demonstrated fibrous dermal hyperplasia, epidermal acanthosis with hyperkeratosis, and increased stromal mucins, consistent with transgressive PPD. Conservative management with topical corticosteroids resulted in stabilization of the disease. Early recognition of this entity is essential to avoid unnecessary investigations and inappropriate treatment, particularly in adolescents, for whom cosmetic concerns may significantly affect quality of life.",2026,Cureus,coal_tar,skin,unspecified,unspecified,unspecified,cosmetics product study | skin/topical study | clinical/hospital study,,
41649178,Patterns of Sensitization and Cross-Reactivity in Hair Dye Allergy: An 18-Year Tertiary-Center Experience from Greece.,"<u><b><i>Abstracts:</i></b></u> <u><b><i>Background:</i></b></u> Hair dye-related allergic contact dermatitis (ACD) is a common problem among both consumers and professionals. The main sensitizers are aromatic amines such as para-phenylenediamine (PPD) and toluene-2,5-diamine (TDA), which can also cross-react with chemically related compounds.<u><b><i>Objective:</i></b></u> To analyze patch-test results from patients with suspected hair dye-related ACD, focusing on the prevalence of sensitization to hair dye allergens, cross-reactivity patterns, and occupational differences.<u><b><i>Methods:</i></b></u> We retrospectively reviewed 666 patients patch-tested between 2005 and 2023 at the Patch Test Clinic of Andreas Sygros Hospital, Athens, Greece. All patients were tested with the European baseline and extended hairdresser series. Results were evaluated according to the International Contact Dermatitis Research Group and European Society of Contact Dermatitis criteria. Logistic regression was used to calculate odds ratios for co-sensitization, adjusted for sex and age.<u><b><i>Results:</i></b></u> Overall, 82.4% of patients reacted to at least 1 allergen, with a median of 3 positive reactions. PPD was the most frequent allergen (47.9%), followed by TDA (35.9%) and nickel (41.1%). Significant co-sensitization was observed between PPD and several chemically related compounds, including 4-aminophenol, 3-aminophenol, benzocaine, textile dyes, hydroquinone, and pyrogallol (<i>P</i> < 0.001). Similar associations were observed for TDA. Hairdressers were younger (mean 32.2 vs 40.7 years, <i>P</i> < 0.001) and had predominantly hand dermatitis (62.9%). Patients reacting to multiple hair dye components were significantly more likely to be sensitized to PPD. Co-sensitization between PPD and cocamidopropyl betaine likely reflected cosmetic co-exposure rather than structural cross-reactivity.<u><b><i>Conclusions:</i></b></u> PPD and TDA remain the dominant sensitizers in hair dye-related ACD, with strong cross-reactivity to aminophenols, benzocaine, and textile dyes. Extended patch testing is essential for accurate diagnosis, as 7% of para-amino-compound-sensitized patients would be missed by PPD testing alone. Occupational exposure and multi-allergen sensitization highlight the need for safer formulations and preventive strategies in hair dye use.",2026,"Dermatitis : contact, atopic, occupational, drug",coal_tar,immune system,skin sensitization | oxidative stress,hair dye,unspecified,cosmetics product study | hair product study | clinical/hospital study | epidemiological study | industrial/occupational,,
41566113,"Efficacy and Tolerability of 0.2% Thiamidol Cream for Facial Hyperpigmentation: A Randomized, Double-Blind, and Vehicle-Controlled Study.","Facial hyperpigmentation is a condition that often shows limited response to treatment. Thiamidol is a proven human tyrosinase (hTyr) inhibitor. However, evidence from randomized controlled trials evaluating the effectiveness of Thiamidol in reducing facial hyperpigmentation remains limited. This study is the first and largest randomized, double-blind, vehicle-controlled trial to evaluate the effectiveness of 0.2% Thiamidol cream in the treatment of facial hyperpigmentation in both sexes. A total of 200 participants with facial hyperpigmentation were randomized to either a Thiamidol cream or a vehicle cream group for 12 weeks. Blinded physicians assessed participants' scores on the modified Melasma Area and Severity Index (mMASI) using standardized photographs, with physician and patient global assessments and digital color analysis performed at weeks 4, 8, and 12. Of the 200 participants enrolled, 196 completed the study. The Thiamidol group showed significantly greater reductions in their mMASI scores (indicating improvement) than the vehicle group at all time points: the reduction from baseline were 11.8% vs 5.4% at week 4, 27.9% vs 13.6% at week 8, and 36.1% vs 16.1% at week 12 (all P < 0.001). The physician global assessments indicated slight to moderate improvement at weeks 8 and 12 (P < 0.001 and P = 0.001, respectively). The patient global assessments and digital color analysis showed no significant differences between groups. We found no statistically significant differences between the groups in the improvement of freckles or solar lentigines. No significant adverse events were reported in either group. We found Thiamidol to be effective, well tolerated, and suitable for both sexes in the treatment of facial hyperpigmentation. These findings support its potential for broader clinical application in cosmetic dermatology. ClinicalTrials.gov (NCT03926845).",2026,Dermatology and therapy,coal_tar,unspecified,unspecified,unspecified,unspecified,cosmetics product study | skin/topical study | clinical/hospital study,,
41515976,Targeting Melanin Production: The Safety of Tyrosinase Inhibition.,"Hyperpigmentation remains a persistent dermatological challenge with limited treatment options. Among available strategies, tyrosinase inhibition stands out as the current most effective and safest approach for suppressing melanin synthesis. Thiamidol exemplifies a targeted tyrosinase inhibitor developed over a decade of research, guided by rigorous toxicological evaluation. Although it contains a resorcinol moiety, Thiamidol is not a resorcinol derivative and acts through a distinct thiazole 2-amino moiety. In addition to its targeted mode of action of tyrosinase inhibition rather than inactivation, assessments of cytotoxicity and genotoxicity distinguish it from cosmetic and pharmaceutical active ingredients that form highly reactive ortho- or para-quinones. With further exclusion for off-target effects based on pharma profiling and exposure modeling, Thiamidol's rapid metabolism and absence of bioaccumulation support its safety profile. While an inhibitory mechanism requires repeated application, this characteristic enhances the safety profile and establishes Thiamidol as a cosmetic ingredient rather than a pharmaceutical. In additional to confirmatory clinical studies for efficacy and skin compatibility, a study shows that the use of Thiamidol-containing products does not negatively impact the dermatological diagnostic accessibility of naevi, which is important for skin health monitoring.",2025,International journal of molecular sciences,coal_tar,skin,genotoxicity,unspecified,unspecified,cosmetics product study,,
41472370,"Contact Allergy to Ingredients of Hair Cosmetics Associated with Occupational and Non-Occupational Exposure-Trends from 1995 to 2020 in Central Europe, with or without Regulation.","Hair cosmetic products contain various chemicals which are partly potent contact sensitizers. These may cause occupational hand eczema in hairdressers, but also scalp and face dermatitis in consumers. To (i) highlight differences between the spectrum of occupational and non-occupational exposure reflected in sensitization, and (ii) correlate trends in the last decades with regulatory interventions (or the lack thereof). Patch test and clinical data collected by the IVDK (https://www.ivdk.org) between 01/1995 and 12/2020 were subjected to a pooled re-analysis. Age-stratified sensitization prevalences in female hairdressers and consumers, respectively, were calculated for 2-yearly intervals spanning the study period. Log-binomial regression models were employed to estimate the association between contact allergy and (i) subgroup (hairdresser vs. consumer), (ii) a 3-level age category, and/or (iii) time period, respectively. Hair dyes were the most frequent sensitizers in hairdressers and consumers; however, there was a marked increase in (particularly the young) consumers. Pyrogallol had been banned in 1992 but still elicited positive patch test reactions even in the young. Hydroquinone, banned in 2013 in dyes, showed no decline in sensitization prevalence. Glyceryl thioglycolate has been withdrawn and later banned in Germany since around 1995, which caused contact allergy prevalence to drop to almost zero in the youngest age group, largely until today. As a limitation, putatively differing selection for patch testing render prevalences difficult to compare between hairdressers and consumers. The importance of hair dye allergy is evident, needing continued efforts to increase product safety from the manufacturing and regulatory side. The potential of (self-)regulatory intervention is well illustrated by the decline of contact allergy to glyceryl thioglycolate.",2026,Contact dermatitis,coal_tar,immune system,skin sensitization,hair dye,unspecified,cosmetics product study | hair product study | epidemiological study | industrial/occupational,,
