pmid,title,abstract,pub_year,journal,toxicant,organs,health_effects,products,ingredients,inference,relevant,relevance_reason
41856783,Efficient chemical synthesis of l-arabinose-containing disaccharides for use as aroma precursors in flavor and fragrance applications.,"Plant-derived aroma glycosides are important sensory enhancers in food, beverages, cosmetics, and fragrance formulations. They have considerable economic value. However, their direct commercial use is limited by their low natural abundance and the lack of efficient, scalable synthetic routes. Synthetic routes have largely targeted aroma compounds derived from specific sources such as tea or grapes. A general, streamlined approach capable of incorporating diverse aglycones - including sterically hindered alcohols and less nucleophilic phenolic groups while maintaining high yields under mild conditions - is still lacking. l-Arabinose sugar is notable for its sweet taste and is a safe additive for diabetic patients. This study reports the synthesis of 14 l-arabinose-containing disaccharides, including α-l-arabinofuranosyl-β-d-glucopyranosides and β-vicianosides (α-l-arabinopyranosyl-β-d-glucopyranosides), incorporating a diverse range of aroma aglycones, including primary, secondary, sterically hindered tertiary, and less nucleophilic phenolic alcohols. All the reactions proceeded under mild, catalytic conditions, providing high yields and purity. Importantly, the scalable method prevented unwanted orthoester formation regardless of the molecular sieve type or reaction concentration. This is an effective and green approach that offers a sustainable route for further industrial production. © 2026 Society of Chemical Industry.",2026,Journal of the science of food and agriculture,ethanolamines,unspecified,unspecified,unspecified,unspecified,cosmetics product study | clinical/hospital study | industrial/occupational,,
41816653,A glycosylated protein-polysaccharide-polyphenol complex provides Pickering emulsion effects increasing freeze-thaw stability and encapsulation of vitamin D<sub>3</sub> in ice cream.,"An enzymatically glycosylated protein-polysaccharide polyphenol terpolymer was synthesized based on transglutaminase (TGase) catalyzed glucosamination of ovalbumin (TGaseOVA) combined with chitosan oligosaccharides (COS) and tea polyphenols (TP) generating a TGaseOVA-COS-TP (TCTP) complex. This terpolymer was used in Pickering emulsion (TCTPE), emulsifier systems to increase freeze-thaw stability and control vitaminD<sub>3</sub> (VD<sub>3</sub>) delivery. The tea polyphenols further enhanced the stability of gel network. Following three freeze-thaw cycles, TCTPE coalescence decreased as compared to non-Pickering control and the melting time of an ice cream model was prolonged. The Pickering emulsion effectively encapsulated and delivered VD<sub>3.</sub> The VD<sub>3</sub> encapsulation efficiency (EE) in the ice cream prepared by TCTPE-VD<sub>3</sub> was 95.8 %, the bioavailability 84.5 %, and the free fatty acids (FFA) were absorbed at a high rate up to 100% in a Caco-2 cell bioassay-based simulated intestinal digestion system. This ice cream demonstrated notable VD<sub>3</sub> protecting and delivery effects. This study presents an approach that builds upon previously reported protein-polysaccharide-polyphenol ternary complexes, demonstrating enhanced freeze-thaw stability and VD<sub>3</sub> delivery performance in an ice cream model. The findings highlight the potential of Pickering emulsion systems for developing functional frozen desserts with improved stability and nutritional value.",2026,Current research in food science,ethanolamines,liver | gut,unspecified,unspecified,unspecified,skin/topical study | food/dietary exposure,,
41791123,Adsorption of Surfactants and Polymers to Biomimetic Hair Model Surfaces.,"Improving the sustainability of cosmetic products while maintaining a good performance requires a deeper understanding on the way that new eco-respectful ingredients interact with hair or skin. In the case of shampoos, the surface science is dominated by the diverse changes on the hair fiber due to both chemical and physical damages that particularly affect physicochemical properties such as hydrophobicity. A native, undamaged fiber is covered with a monolayer of lipids, mainly 18-methyleicosanoic acid (18-MEA), while a highly damaged hair surface, having completely lost the protective lipids, is hydrophilic and negatively charged. Intermediate states exist, where there is a partial loss of 18-MEA (""partially damaged hair""). Here, four model surfaces have been produced, to mimic different types of hair surfaces. Their interaction with selected surfactants and polyelectrolytes (natural and synthetic) has been studied by neutron reflectometry (NR). NR can reveal hierarchical adsorption from mixtures thanks to the scattering contrast between deuterated and hydrogenous molecules. Atomic force microscopy (AFM) measurements complement the study by adding information about the in-plane structure of adsorbed species. The presence of the methyl branch of 18-MEA is found to affect the interaction of the surface with adsorbates. For surfactant/polyelectrolyte mixtures, for example, the adsorption of polymer is enhanced. Of particular interest are the results on the partially damaged hair model, as it manifests patches of hydrophobic and hydrophilic moieties; it is possible to separately observe the different adsorption behaviors to the different sites in a single experiment.",2026,Langmuir : the ACS journal of surfaces and colloids,ethanolamines,skin,unspecified,shampoo,unspecified,cosmetics product study | hair product study,,
41712171,Photoresponsive antioxidant-based gels incorporating natural polyphenols and ZnO nanoparticles: a synergistic approach to UV protection and photostability.,"Excessive exposure to ultraviolet (UV) radiation accelerates skin aging, induces oxidative stress, and increases the risk of skin cancer. Conventional sunscreens often contain synthetic filters with potential environmental and dermatological concerns, highlighting the need for biocompatible, multifunctional alternatives. In this work, photoresponsive gel formulations were developed using natural polyphenolic antioxidants (green tea and pomegranate peel extracts), photochromic agents (dihydroxyflavone and spiropyran), and zinc oxide (ZnO) nanoparticles. The formulations followed green chemistry principles and were optimized for enhanced sun protection factor (SPF), photostability, and physicochemical performance. A full 2⁴ factorial design was employed to evaluate synergistic effects among active components. The optimized gel achieved an SPF of 16.32 with improved photostability (ΔE = 4.5) after UV-A/UV-B exposure, comparable to historically established low-SPF reference formulations, while offering enhanced photostability, antioxidant functionality, and sustainability. Spectroscopic analysis confirmed strong UVB absorption, and statistical tests demonstrated significant interactions, particularly between polyphenols and dihydroxyflavone. Rheological, pH, and emulsion stability tests validated the formulation's robustness. While the achieved SPF remains within the low-to-moderate range compared to modern commercial sunscreens, the formulation demonstrates enhanced photostability, antioxidant functionality, and sustainability, highlighting its potential as a complementary or research-stage photoprotective platform. These findings suggest that combining natural antioxidants and ZnO nanoparticles in photochromic gels provides a sustainable, effective strategy for next-generation UV-protective skincare.",2026,Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,ethanolamines,skin,carcinogenicity | oxidative stress,sunscreen,zinc oxide,sunscreen/UV filter study,,
41613918,"Independent and combined association of milk tea and takeaway food consumption on depression, anxiety, and comorbid symptoms among Chinese university students.","Milk tea and takeaway food consumption are increasingly prevalent among Chinese university students and may contribute to adverse mental health outcomes. However, the combined association of these dietary behaviors on psychological symptoms remain unclear. A multicenter cross-sectional survey was conducted from September to November 2023 among 15,440 students from seven universities in four provinces of China. Single-factor associations between psychological symptom types and milk tea/takeaway food consumption were examined using the Chi-square test. Multivariate logistic regression was then employed to assess independent associations, adjusting for demographic and lifestyle confounders. Finally, interaction models were used to explore the combined association of milk tea and takeaway food consumption, as well as the impact of specific consumption combinations, on depression symptoms, anxiety symptoms, and their comorbidity. Odds ratios (OR) and 95% confidence intervals (CI) were calculated. Milk tea consumption was associated with an increased likelihood of only anxiety symptoms (OR = 1.33, 95% CI: 1.18-1.50) and comorbidity (OR = 1.16, 95% CI: 1.06-1.26). Takeaway food consumption was associated with only anxiety symptoms (OR = 1.23, 95% CI: 1.09-1.40). Students who consumed both milk tea and takeaway food had a higher risk of only anxiety symptoms (OR = 1.67, 95% CI: 1.43-1.95) and comorbidity (OR = 1.24, 95% CI: 1.11-1.38). Several specific consumption combinations-particularly cream cap milk tea with grilled/deep-fried skewers-were strongly linked to comorbidity (OR = 4.25, 95% CI: 3.61-5.02). Both milk tea and takeaway food consumption are independently associated with higher risks of anxiety symptoms and comorbid depression-anxiety among Chinese university students, with a significant combined association observed. High-fat, high-sugar milk tea combined with deep-fried or stir-fried takeaway food poses the greatest risk, highlighting the need for targeted dietary interventions to mitigate psychological symptom burden in this population.",2025,Frontiers in nutrition,ethanolamines,unspecified,unspecified,unspecified,unspecified,skin/topical study | epidemiological study,,
41599383,"Experimental Valorization of Recycled Palm Oil in Topical Formulations: Preparation, Characterization, and Antimicrobial Assessment.","Sustainable strategies for revalorizing food industry by-products are increasingly relevant in the development of modern experimental dermato-cosmetic formulations. In this study, two semisolid cosmetic creams (R10 and EM-R10) were designed using recycled palm oil-physically purified after intensive frying-as the lipid phase. The recycled oil was incorporated strictly within a controlled experimental framework and does not imply cosmetic-grade regulatory compliance. The formulations incorporated distinct bioactive profiles: R10 combined apricot and pineapple extracts with lime essential oil, while EM-R10 integrated fir bud and green tea extracts alongside the same essential oil. Both preparations contained Fragard as a preservative and niacinamide and panthenol as vitaminic components. The physicochemical properties of the formulations were assessed through rheology, confocal microscopy, ATR-FTIR, SEM, DSC, and contact angle measurements. Antimicrobial activity was evaluated against <i>Staphylococcus aureus</i>, <i>Escherichia coli</i>, <i>Pseudomonas aeruginosa</i>, and <i>Candida albicans</i> using disk diffusion and broth microdilution assays. The results demonstrate that, despite partial thermal degradation, recycled palm oil retains modified structural features that influence formulation-related properties relevant to topical systems. EM-R10 showed superior spreadability, adhesion, stability, and diffusion-related performance, as well as improved antimicrobial activity, within the investigated experimental conditions, highlighting recycled palm oil as a promising sustainable lipid phase for experimental dermato-cosmetic formulations, pending further purification, toxicological evaluation, and regulatory compliance assessment.",2026,"Molecules (Basel, Switzerland)",ethanolamines,unspecified,unspecified,unspecified,niacinamide,cosmetics product study | skin/topical study,,
41520236,Critical Influence of Size-Reduction Techniques on Ginger (Zingiber officinale) Oil and Its Analogy in Ginger Tea Flavors.,"Ginger oil, a global commodity rich in diverse mono- and sesquiterpenes, is largely used as the natural flavor, therapeutic, and cosmetic ingredient. This study aimed to investigate the impact of conventional size-reduction techniques (9, 6, and 3 mm slicing, crushing, grating, and grinding) of fresh ginger on its oil and analogize it in ginger tea volatile flavors. A decrease in particle size elevated the oil yield and critically impacted the oil composition. The finer size enhanced the yield of sesquiterpene hydrocarbons (grated/9-mm slices: 8.0-19.0), thus elevating their concentrations (grated/9-mm slices: 2.8-7.7) and overall oil productivity. Their extraction was ineffective, hence incomplete, from thick slices, which improved upon size reduction. However, a reverse trend was observed for the levels of oxygenated monoterpenes (9-mm slices/grated: 1.5-4.1). The extractability and yield of these monoterpenes were maintained throughout, thus reducing their concentrations with decreasing particle size due to an elevated oil productivity. Utilizing this knowledge, a hydrodistillation-based two-step process was developed, enriching sesquiterpene hydrocarbons and oxygenated monoterpenes separately in two oil fractions. Also, the quantity of these volatile flavors in ginger tea followed a similar trend with traditional size-reduction methods (dicing, crushing, and grating). The amount of major sesquiterpene hydrocarbons was elevated by 3.6-9.3 times in the tea of grated ginger compared to diced, while oxygenated monoterpenes maintained a narrow range. Thus, the current study quantitatively correlated size-reduction methods with the volatile flavors in ginger oil and tea. This knowledge will be useful for the efficient hydrodistillation of fresh ginger or enrichment of major terpene classes thereof.",2026,Journal of food science,ethanolamines,unspecified,unspecified,unspecified,unspecified,cosmetics product study | clinical/hospital study,,
41438548,Characterization of volatiles in tea leaf cuticular wax during white tea processing across distinct climatic regions.,"Climate change significantly impacts tea plant (<i>Camellia sinensis</i>) physiology, particularly the cuticular wax layer on leaves, which serves as a critical barrier against environmental stress. This study investigates how climatically distinct growing regions modify the composition and morphology of tea leaf cuticular wax, and thereby affect volatile organic compounds (VOCs) during white tea processing. Through gas chromatography-mass spectrometry (GC-MS) analysis and sensory evaluation, we demonstrate that climate-induced wax modifications correlate with volatile profiles shifts, ultimately impacting tea fragrance. The results showed that most of the differential components in cuticular wax of samples between Guizhou (GZ) and Shandong (SD) Province were related to stress tolerance, indicating the influence of climate differences on chemical property of tea leaves. Among these compounds, <i>β</i>-<i>N</i>-acetylglucosamine, <i>D</i>-arabitol, <i>L</i>-arabitol and tiglic acid were identified throughout the whole processing, with the first two components showing higher content in SD samples. The differential volatiles in tea leaves between GZ and SD samples were mostly enriched in pathways related to cell survival proliferation and environmental adaption, some of which also participated in modulating flavor-related components. The results of sensory evaluation showed that GZ samples were found to have stronger floral and fruity aroma and weaker green flavor than SD samples, which was in accordance with previous study. Our findings highlight the ecological and industrial implications of wax-mediated aroma changes, offering insights for adapting tea cultivation to climatic variability.",2025,Food chemistry: X,ethanolamines,unspecified,unspecified,unspecified,unspecified,industrial/occupational | food/dietary exposure | analytical/method study,,
41352793,Investigation into the dynamic process of natural inoculation-enhanced fermentation of summer-autumn green tea with aspergillus cristatus.,"The summer-autumn green tea is hard for consumers to accept because of its bitter taste and low quality. This study reveals the core mechanism by which inoculation with the single fungal strain Aspergillus cristatus in naturally enhanced fermentation improves the quality of summer-autumn green teas. Multi-omics (including microbiomics through Illumina MiSeq high-throughput sequencing, non-volatile metabolomics through high-performance liquid chromatography-mass spectrometry, and volatile metabolomics through gas chromatography-mass spectrometry) and sensory analysis were used to evaluate the metabolites and quality of summer-autumn green tea before and after fermentation. The results indicated that Aspergillus rapidly dominated the microbial community during the early stages of fermentation, maintaining an absolute dominance (accounting for over 99 % of total fungi). It significantly reduces the content of bitter compounds such as flavonoids, tea polyphenols, and catechins through key metabolic pathways (e.g., flavonoid biosynthesis, flavonoid and flavanol biosynthesis, and arginine biosynthesis), while optimizing the composition of free amino acids (Increasing in fresh and sweet-tasting amino acids and decreasing in salty and bitter-tasting ones). Furthermore, Aspergillus drove a significant increase in volatile organic compounds (Geraniol, Phenylethanol, Methyl salicylate, etc) through isoprenoid synthesis and phenylalanine metabolic pathways. This shift led to a transformation in aroma profile from esters to ketones, while creating a complex fragrance characterized by floral, fruity and sweet scents. Correlation analysis further indicated that Aspergillus metabolism directly regulated the conversion of characteristic non-volatile and volatile components. This research elucidates a complete pathway through which a single fungus reshapes the metabolic profile of summer-autumn green tea via directed metabolism, providing a theoretical foundation for optimizing natural fermentation processes.",2026,"Food research international (Ottawa, Ont.)",ethanolamines,unspecified,unspecified,foundation,unspecified,food/dietary exposure | analytical/method study,,
41319188,Effects of fermented tea seed oil on the skin lipid barrier and microbiome of sensitive skin.,"Sensitive skin is typically characterized by dryness, reactivity and inflammation, often associated with a compromised skin barrier and an imbalanced microbiome. This study aims to investigate the effects and mechanisms of fermented tea seed oil in improving sensitive skin, particularly focusing on the skin lipid barrier and microbiome. Tea seed oil was fermented using biotechnology, and its lipid components were analysed both before and after fermentation. A double-blind, randomized, half-face controlled clinical trial was conducted on 25 Chinese young women with sensitive skin. Participants used a moisturizer containing 5% fermented tea seed oil or a base moisturizer for 4 weeks. Non-invasive methods were used to measure physiological parameters. Ultra-performance liquid chromatography-quadrupole time-of-flight mass spectrometry (UPLC-QTOF-MS) and high-throughput gene sequencing technologies were employed to analyse skin lipids and the microbiome. Fifty-three differential lipids were identified by comparing the lipid profiles of tea seed oil before and after fermentation. The most significant increase was observed in DHA-CoA, which has the potential to improve skin lipid metabolism and enhance the skin barrier. The participants showed significant improvements in skin hydration, redness reduction and facial wrinkles. Lipidomics analysis revealed notable changes in the skin lipid profile before and after treatment, with 41 and 15 differentially expressed lipids identified in the test and control groups, respectively. Microbiome results indicated no significant alterations in the diversity or abundance of skin microbiota after treatment. Nevertheless, the composition of the skin microbiota demonstrated a beneficial shift, with Propionibacterium acnes being suppressed while Streptococcus increased. These microbial changes are associated with skin barrier repair as well as sensitivity and inflammation. Fermented tea seed oil demonstrates notable clinical benefits for sensitive skin. It effectively regulates lipid metabolism and the composition of skin microbiota, thereby strengthening the lipid barrier and reducing the risk of potential inflammation. The increased presence of DHA-CoA in the fermented tea seed oil may serve as a key molecular contributor to its improved reparative efficacy.",2025,International journal of cosmetic science,ethanolamines,skin,unspecified,moisturizer,unspecified,skin/topical study | clinical/hospital study | analytical/method study,,
