pmid,title,abstract,pub_year,journal,toxicant,organs,health_effects,products,ingredients,inference,relevant,relevance_reason
41819607,"Patch Test Results With the European Baseline Series, 2021/2022-Joint European Results of the ESSCA<sup>A</sup> and the EBS<sup>B</sup> Working Groups of the ESCD, and the GEIDAC<sup>C</sup>.","Patch test results obtained with the European Baseline Series (EBS) in its current version serve both contact allergy surveillance and (re-)assessing the diagnostic value of EBS allergens. To present results of current EBS patch testing, obtained in 59 departments in 14 European countries during 2021 and 2022. Anonymised or pseudonymised individual data, and partly aggregated results, on demographic/clinical characteristics and patch test results with the EBS were prospectively collected, centrally pooled, and retrospectively analysed. In 2021 and 2022, 18 832 patients were patch tested with the EBS. Sensitization to nickel remained most common (18.85 (18.29-19.43)% positivity (95% confidence interval)). Fragrance mix I and Myroxylon pereirae resin yielded very similar results with 6.39 (6.04-6.76)% and 6.5 (6.15-6.87)% positivity, respectively. Concerning preservatives, methylchloroisothiazolinone/methylisothiazolinone (MCI/MI) 0.02% aq. yielded 5.52 (5.11-5.96)% and MI 0.2% aq. yielded 5.28 (4.94-5.64)% positives. Testing formaldehyde 2% aq. identified almost one percentage point more positive reactions than 1% aq. (2.05 (1.81-2.32)% vs. 1.22 (0.99-1.48)). Positive reactions to the recently added allergens were most frequently seen to propolis (5.47 (5.12-5.84)%) and 2-hydroxyethyl methacrylate (3.63 (3.32-3.96)%). Compared to the previous reporting period, surveillance results with the EBS were mostly stable. The results regarding Quaternium 15 (0.4 (0.29-0.53)% positives) justified its exclusion from the 2023 EBS version.",2026,Contact dermatitis,formaldehyde_releasers,immune system,skin sensitization,unspecified,unspecified,clinical/hospital study,no,"This paper focuses on patch test results for contact allergy surveillance, which is not directly related to the health effects of chemical toxicants in cosmetic products."
41809635,Formaldehyde and Formaldehyde Releasing Preservatives in Personal Care Products Used by Black Women and Latinas.,"Formaldehyde and formaldehyde releasing preservatives (FRPs) are used in personal care products (PCPs) to prevent microbial growth and extend the shelf life. Several countries and U.S. states have banned or restricted the use of these chemicals due to carcinogenicity and other health concerns. However, the prevalence of these chemicals in PCPs used by the public, particularly by Black women and Latinas, remains poorly documented. We examined the prevalence of formaldehyde and FRPs listed as ingredients on PCPs from the Taking Stock Study (TSS), a community-engaged study in which 70 Black women and Latinas in South Los Angeles logged their PCP use with a smartphone application. We contextualized our results using EPA's Chemical and Products Database (CPDat), a public ingredient database. More than half of the TSS participants (53%) reported using at least one PCP with formaldehyde or FRPs despite only 4% of TSS PCPs and 8% of CPDat PCPs listing formaldehyde and/or FRPs as ingredients. We found formaldehyde and FRPs listed in frequently used products such as lotions and cleansers. The most common FRP was 1,3-dimethylol-5,5-dimethylhydantoin (DMDM) hydantoin. These results could inform the types of regulations needed to protect the U.S. population from adverse health risks due to formaldehyde exposure from PCP use.",2025,Environmental science & technology letters,formaldehyde_releasers,unspecified,carcinogenicity,unspecified,unspecified,cosmetics product study | skin/topical study | epidemiological study,yes,"This paper investigates the prevalence of formaldehyde and formaldehyde releasing preservatives in personal care products, which are chemical toxicants of concern in cosmetic products."
41692689,Allergic Risk of Moisturising Cosmetic Products: A Study on the Composition of 300 Products Commercialised in Tunisia.,"Moisturising cosmetic products (MCP) formulations may contain ingredients known to trigger allergic contact dermatitis. Claims such as 'hypoallergenic' or 'fragrance-free' are commonly used in marketing, yet these terms are not consistently regulated, potentially posing a risk for patients with allergic contact dermatitis. To assess the allergenic potential of moisturisers by analysing their ingredients and determining the prevalence of contact allergens. A survey conducted between April and June 2023. MCPs were collected from supermarkets and pharmacies. Data analysis focused on allergen prevalence and product origin. All products were systematically screened for seven targeted allergenic components by reviewing their ingredient labels (INCI): isothiazolinones, phenoxyethanol, formaldehyde and its releasers, lanolin, fragrances, parabens and propylene glycol. All allergens included in our study were systematically searched for all relevant synonyms in both English and French. Three hundred products were analysed, including 153 items (51%) from supermarkets and 147 (49%) from pharmacies. Fragrances were the most frequently identified allergens, present in 84.7% of formulations. Only 15.3% of products were free from fragrances and plant extracts. Among those labelled 'fragrance-free', 86.8% (46 of 53) were truly free of fragrances. Isothiazolinones were found in 7% of products, predominantly in leave-on formulations and locally manufactured brands. Formaldehyde-releasing agents were detected in 10.3% of products, with higher prevalence in supermarkets and leave-on items. Parabens were present in 10.7%, including two products with hydroxybenzoate. Propylene glycol was identified in 28% of products; still, 24.3% (18 of 74) of hypoallergenic-labelled products contained it. Phenoxyethanol appeared in 37.7% of formulations and was more common in supermarket-sold products. Lanolin was found in 2.7% of the products. The study highlights a high prevalence of contact allergens in MCPs, including those marketed as hypoallergenic.",2026,Contact dermatitis,formaldehyde_releasers,immune system,skin sensitization,moisturizer,lanolin | propylene glycol | phenoxyethanol,cosmetics product study | skin/topical study | clinical/hospital study | epidemiological study,yes,"This paper assesses the allergenic potential of moisturising cosmetic products, which involves evaluating the health effects of chemical toxicants in these products."
39155513,Hidden formaldehyde in cosmetic products.,"Formaldehyde is a common cause of contact allergy. Hidden formaldehyde, that is, formaldehyde in products without formaldehyde releasers, has previously been detected in cosmetic products. The objective of this study was to investigate the content and causes of hidden formaldehyde in leave-on cosmetic products. The formaldehyde release from 142 cosmetic products, primarily creams, was analysed using the chromotropic acid (CA) method. The study included 130 products with no formaldehyde releasers on the ingredient list and 12 products with formaldehyde releasers. Products without formaldehyde releasers positive to CA, that is, with formaldehyde ≥2.5 ppm, were additionally analysed using high-performance liquid chromatography (HPLC). Formaldehyde release from selected raw materials and packaging were also investigated. Hidden formaldehyde was found in 23 of the 130 products (18%) without formaldehyde releasers on the ingredient list. The average formaldehyde content was 105 ppm (range: 0.5-507 ppm) in products with hidden formaldehyde and 355 ppm (range: 75-637 ppm) in eight products with formaldehyde releasers, selected for HPLC analysis. Impurities of formaldehyde in dihydroxyacetone may be a cause of hidden formaldehyde in self-tanners. No clear pattern was found for the other products with hidden formaldehyde. Changes in regulation are needed to prevent allergic contact dermatitis from hidden formaldehyde in cosmetic products.",2024,Contact dermatitis,formaldehyde_releasers,immune system,skin sensitization,tanning product,unspecified,cosmetics product study | skin/topical study | analytical/method study,yes,"This paper investigates the content and causes of hidden formaldehyde in leave-on cosmetic products, which is a chemical toxicant of concern in cosmetic products."
38368629,"Trends in contact sensitization, results, and implications from a contact dermatitis clinic in Israel.","The baseline series includes common allergens, evolves over time, and differs by location. Our study aims to characterize allergen sensitization trends among the Israeli population during the last two decades, compare our results to American and European registries, as well as to highlight significant allergens in additional series outside the European baseline series (OEBS). We analysed patch test results of 2086 patients from a designated contact dermatitis clinic in Tel Aviv between 2019 and 2022, compared them to European and North American registries and to 2156 patch test results conducted in Israel two decades ago. 38.6% of patients had at least one positive reaction to an allergen in the European baseline series (EBS), nickel sulphate (14.6%), fragrance mix I (4.6%), and Methylchloroisothiazolinone methylisothiazolinone (MCI/MI; 3.7%) were the most common among them. N-Isopropyl N-Phenyl-4-Phenylenediamine (NIPPD; 0%), Propolis (0.1%), Sesquiterpene lactone mix (0.1%), and Budesonide (0.1%) elicited a sensitization frequency significantly lower than the proposed threshold for baseline inclusion. Chi-square test revealed a statistically significant decrease (p < 0.05) in the sensitization frequency of fragrance mix I, Formaldehyde, Potassium dichromate, Neomycin sulphate, Myroxylon pereirae, Sesquiterpene lactone, and NIPPD during the last two decades. The overall sensitization frequency to the majority of allergens was lower in our cohort in comparison to the North American and European registries. MCI/MI and 2-hydroxyethyl methacrylate-2 (HEMA) are common, relevant allergens, with high SPIN (significance and prevalence index number) and should be better regulated by the authorities. While among the EBS, NIPPD, Propolis, Sesquiterpene lactone, and Budesonide usually do not elicit a positive reaction and therefore should be reconsidered in baseline series, among the OEBS, Chloramphenicol, Quaternium 15, Propyl gallate, and Amerchol L101 have elicited high SPIN values and should be vigilantly examined in the suitable clinical scenario. Significantly lower sensitization frequency to propolis raises the possibility of a protective effect due to early oral exposure among the Israeli population.",2024,Contact dermatitis,formaldehyde_releasers,immune system,skin sensitization,unspecified,unspecified,clinical/hospital study | epidemiological study,no,"This paper focuses on characterizing allergen sensitization trends among the Israeli population, which is not directly related to the health effects of chemical toxicants in cosmetic products."
37776363,Imidazolidinyl Urea.,"The Expert Panel for Cosmetic Ingredient Safety reviewed updated information that has become available since their original assessment from 1980, along with updated information regarding product types, and frequency and concentrations of use, and reaffirmed their original conclusion that Imidazolidinyl Urea is safe as a cosmetic ingredient in the practices of use and concentration as described in this report.",2023,International journal of toxicology,formaldehyde_releasers,unspecified,unspecified,unspecified,unspecified,cosmetics product study,yes,"This paper reaffirms the safety of Imidazolidinyl Urea as a cosmetic ingredient, which is relevant to the health effects of chemical toxicants in cosmetic products."
37429522,From worst-case to reality - Case studies illustrating tiered refinement of consumer exposure to cosmetic ingredients.,"Consumer exposure to cosmetic ingredients is estimated in a tiered manner. Simple Tier1 deterministic aggregate exposure modelling generates a worst case estimate of exposure. Tier1 assumes that a consumer uses all cosmetic products concomitantly daily, at maximum frequency, and products always contain the ingredient at the maximum allowed % w/w concentration. Refining exposure assessment from worst case to more realistic estimates uses evidence from surveys of actual use levels of ingredients and Tier2 probabilistic models, where distributions of consumer use data can be applied. In Tier2+ modelling, occurrence data provides evidence of products on the market actually containing the ingredient. Three case studies are presented using this tiered approach to illustrate progressive refinement. The scale of refinements from Tier1 to Tier2+ modelling for the ingredients, propyl paraben, benzoic acid and DMDM hydantoin were: 0.492 to 0.026; 1.93 to 0.042 and 1.61 to 0.027 mg/kg/day exposure dose. For propyl paraben, moving from Tier1 to Tier2+ represents a refinement from 49-fold to 3-fold overestimate of exposure when compared to a maximum estimate of 0.01 mg/kg/day exposure seen in human studies. Such refinements from worst case to realistic levels of exposure estimation can be critical in the demonstration of consumer safety.",2023,Regulatory toxicology and pharmacology : RTP,formaldehyde_releasers,unspecified,unspecified,unspecified,unspecified,cosmetics product study | epidemiological study,yes,"This paper discusses methods for estimating consumer exposure to cosmetic ingredients, which is relevant to understanding the potential health effects of chemical toxicants in cosmetic products."
37177794,Quantitative Risk Assessment of Dermal Sensitization Potential Following Use of Shampoo Products Containing the Formaldehyde Releasing Preservative DMDM Hydantoin.,"Historically, formaldehyde was used as a preservative in personal care products to extend product shelf-life; however, given its skin sensitization potential it has been phased out of use and replaced with formaldehyde-releasing preservatives, such as Dimethyloldimethyl hydantoin (DMDMH). A relationship has been established between positive patch test results following exposure to DMDMH and previous sensitization to formaldehyde. Upon direct contact with the skin, formaldehyde can react with skin proteins and cause an acute inflammatory reaction, which may progress to skin sensitization following repeated exposure. This quantitative risk assessment (QRA) aimed to assess the risk of skin sensitization induction following use of shampoo products containing the maximum allowable concentrations of DMDMH in formulation (1% w/v), translating to a free formaldehyde concentration of 0.02%. To determine a margin of safety (MOS) for exposure to DMDMH from use of shampoo products, consumer exposure levels (CEL) were estimated based on typical use scenarios and then benchmarked against an acceptable exposure level (AEL). The AEL was derived using a weight of evidence approach where a range of no expected sensitization induction levels (NESILs) was utilized. The MOS values for a shampoo product containing 1% DMDMH (.02% formaldehyde) was above 1 for the typical use scenario indicating a low likelihood of skin sensitization induction among healthy individuals. Thus, it can be concluded that shampoo products containing DMDMH at or below current allowable concentrations are not expected to increase the risk of skin sensitization induction.",2023,International journal of toxicology,formaldehyde_releasers,skin,skin sensitization,shampoo,unspecified,cosmetics product study | hair product study,yes,"This paper assesses the dermal sensitization potential of a formaldehyde-releasing preservative, which is a chemical toxicant commonly found in cosmetic products."
36981689,Potential Carcinogens in Makeup Cosmetics.,"Facial makeup cosmetics are commonly used products that are applied to the skin, and their ingredients come into contact with it for many years. Consequently, they should only contain substances that are considered safe or used within an allowable range of established concentrations. According to current European laws, all cosmetics approved for use should be entirely safe for their users, and the responsibility for this lies with manufacturers, distributors, and importers. However, the use of cosmetics can be associated with undesirable effects due to the presence of certain chemical substances. An analysis of 50 random facial makeup cosmetics commercially available on the European Union market and manufactured in six European countries was carried out, concerning the presence of substances with potential carcinogenic properties, as described in recent years in the literature. Nine types of facial makeup cosmetics were selected, and their compositions, as declared on the labels, were analyzed. The carcinogens were identified with information present in the European CosIng database and according to the Insecticide Resistance Action Committee's (IRAC) classification. As a result, the following potential carcinogens were identified: parabens (methylparaben, propylparaben, butylparaben, and ethylparaben), ethoxylated compounds (laureth-4, lautreth-7, or ethylene glycol polymers known as PEG), formaldehyde donors (imidazolidinyl urea, quaternium 15, and DMDM hydantoin), and ethanolamine and their derivatives (triethanolamine and diazolidinyl urea), as well as carbon and silica. In conclusion, all of the analyzed face makeup cosmetics contain potential carcinogenic substances. The literature review confirmed the suppositions regarding the potential carcinogenic effects of selected cosmetic ingredients. Therefore, it seems necessary to carry out studies on the long-term exposure of compounds present in cosmetics and perhaps introduce stricter standards and laws regulating the potential presence of carcinogens and their activity in cosmetics.",2023,International journal of environmental research and public health,formaldehyde_releasers,skin,carcinogenicity,unspecified,unspecified,cosmetics product study,yes,"This paper discusses the potential carcinogens in makeup cosmetics, which is directly related to the health effects of chemical toxicants in cosmetic products."
36895166,Effect of leave-on cosmetic antimicrobial preservatives on healthy skin resident Staphylococcus epidermidis.,"The effect of high doses preservatives in the leave-on cosmetic products to the skin microbiota is not clear. Studies have shown that the preservatives might alter the balance of the skin microbiota. In this study, we aimed to evaluate antimicrobial effect of nine cosmetic chemical preservatives. A total of 77 Staphylococcus epidermidis isolates from 46 healthy zygomatic skin samples were characterized by multilocus sequence typing (MLST). Nine preservatives used in leave-on cosmetics were analyzed by testing the minimal inhibitory concentrations (MICs) against S. epidermidis isolates. We also determined the mutant prevention concentration (MPC) and bactericidal kinetics on selected isolates. More than 17 sequence types were recognized among 77 S. epidermidis isolates. Our data demonstrated that the maximum permitted doses of 2-bromo-2-nitro-1,3-propanediol, ethyl 4-hydroxybenzoate, hexadecyltrimethylammonium bromide, and imidazolidinyl urea were significantly higher than both their MICs and MPCs. We showed that, at the maximum permitted doses, two preservatives could completely kill 10<sup>7</sup>  CFU/mL S. epidermidis in less than 1 h in MH broth. Our data demonstrated that certain preservatives of the leave-on cosmetics might inhibit or kill S. epidermidis cells and perturb the skin microbiota balance. The determination of the maximum permitted doses of the preservatives should not only be based on the toxicological data, but also antimicrobial susceptibility analysis. This comprehensive evaluation would ensure a balanced and healthy skin microbiota.",2023,Journal of cosmetic dermatology,formaldehyde_releasers,skin,unspecified,unspecified,unspecified,cosmetics product study,yes,"This paper evaluates the antimicrobial effect of preservatives in leave-on cosmetic products, which can have implications for the health effects of chemical toxicants on skin microbiota."
