pmid,title,abstract,pub_year,journal,toxicant,organs,health_effects,products,ingredients,inference,relevant,relevance_reason
41870438,Synthesis of high value fragrances (dihydrolinalool and tetrahydrolinalool) using combinations of biobased mint biochar/activated charcoal incorporated Ni-Pd catalysts.,"Linalool (I), a key monoterpenoid alcohol abundant in <i>Ocimum basilicum</i> var. CIM-Shishir (>70%), readily undergoes auto-oxidation leading to the formation of toxic by-products like oxidized linalool. Besides, harmful effects of linalool on humans as well as in the environment have been increasing rapidly. This study highlights the value addition of linalool to a more stable form <i>via</i> catalytic hydrogenation using biochar-supported Ni-Pd and activated charcoal. Under the optimized reaction conditions of 13 bar H<sub>2</sub> pressure at 150 °C with a reaction time of 60 min, the designed catalysts hydrogenate linalool (I) to 6,7-dihydrolinalool (II) and tetrahydrolinalool (III) with 82.5% and 91.6% selectivity, respectively. Catalyst characterization has confirmed the role of metal-support interactions towards governing the selectivity. The industrial potential of the present catalytic process in the synthesis of fine fragrance chemicals has been revealed.",2026,"Chemical communications (Cambridge, England)",fragrance,unspecified,unspecified,unspecified,unspecified,industrial/occupational,no,"This paper focuses on synthesizing a fragrance compound and its potential to reduce toxicity, but it does not directly address the health effects of chemical toxicants in cosmetic products."
41819607,"Patch Test Results With the European Baseline Series, 2021/2022-Joint European Results of the ESSCA<sup>A</sup> and the EBS<sup>B</sup> Working Groups of the ESCD, and the GEIDAC<sup>C</sup>.","Patch test results obtained with the European Baseline Series (EBS) in its current version serve both contact allergy surveillance and (re-)assessing the diagnostic value of EBS allergens. To present results of current EBS patch testing, obtained in 59 departments in 14 European countries during 2021 and 2022. Anonymised or pseudonymised individual data, and partly aggregated results, on demographic/clinical characteristics and patch test results with the EBS were prospectively collected, centrally pooled, and retrospectively analysed. In 2021 and 2022, 18 832 patients were patch tested with the EBS. Sensitization to nickel remained most common (18.85 (18.29-19.43)% positivity (95% confidence interval)). Fragrance mix I and Myroxylon pereirae resin yielded very similar results with 6.39 (6.04-6.76)% and 6.5 (6.15-6.87)% positivity, respectively. Concerning preservatives, methylchloroisothiazolinone/methylisothiazolinone (MCI/MI) 0.02% aq. yielded 5.52 (5.11-5.96)% and MI 0.2% aq. yielded 5.28 (4.94-5.64)% positives. Testing formaldehyde 2% aq. identified almost one percentage point more positive reactions than 1% aq. (2.05 (1.81-2.32)% vs. 1.22 (0.99-1.48)). Positive reactions to the recently added allergens were most frequently seen to propolis (5.47 (5.12-5.84)%) and 2-hydroxyethyl methacrylate (3.63 (3.32-3.96)%). Compared to the previous reporting period, surveillance results with the EBS were mostly stable. The results regarding Quaternium 15 (0.4 (0.29-0.53)% positives) justified its exclusion from the 2023 EBS version.",2026,Contact dermatitis,fragrance,immune system,skin sensitization,unspecified,unspecified,clinical/hospital study,yes,"This paper presents patch test results with the European Baseline Series, which is relevant to understanding the health effects of chemical toxicants in cosmetic products."
41818348,15-Year Experience of Patch Testing During Pregnancy: Retrospective case-control study from a Tertiary Israeli Center.,"Although patch testing (PT) is not contraindicated during pregnancy, most dermatologists defer testing due to lack of data and possibility that immunological changes might influence outcomes. In our center we routinely perform PT during pregnancy as it is not known to be teratogenic and may lead to significant improvements in quality of life. To assess whether pregnancy alters the outcome of PT. Retrospective, single-center case-control study was conducted at a tertiary Israeli dermatology clinic (2009-2023). Women who gave birth within 40 weeks of PT were identified, and for each, three age-, year-, and atopic dermatitis-matched controls were selected. Of 3351 women tested, 54 (1.6%) were pregnant at the time of PT. Most were tested during the first trimester (63%). No significant differences were found in the frequency of positive patch test reactions between pregnant women and matched controls. The most common allergens in pregnant patients were nickel sulfate (61.1%), 2-hydroxyethyl methacrylate (13.64%), and fragrance mix II (5.5%). Sample size was insufficient to detect differences in low-prevalence allergens. Potential referral and selection biases limit generalizability. Pregnancy does not appear to affect patch test outcomes in early and mid-gestation. Due to limited third-trimester representation, further studies are needed to determine whether reactivity remains consistent throughout all stages of pregnancy.",2026,"Dermatology (Basel, Switzerland)",fragrance,immune system,skin sensitization | developmental toxicity,unspecified,unspecified,clinical/hospital study | epidemiological study,no,"This paper focuses on the safety and outcomes of patch testing during pregnancy, which is not directly related to the health effects of chemical toxicants in cosmetic products."
41811345,Biosynthesis of Limonene Using Acetate as the Carbon Source in Metabolically Engineered <i>Escherichia coli</i>.,"Limonene is a high-value monoterpenoid used in food, pharmaceutical, and fragrance applications. To overcome limitations of conventional production, this study developed a biosynthesis platform using acetate as the sole carbon source. Acetate is an ideal nonfood substrate that can be sustainably derived from industrial waste streams, syngas, and CO<sub>2</sub> reduction. Initially, the heterologous synthetic pathway was constructed to yield 0.13 mg/L limonene from acetate. By introducing the mutated <i>EfMVAS</i><sup>A110G</sup> to enhance catalytic efficiency, along with promoter engineering and substitution of the synthesis substrate, the production titer was enhanced to 49.24 mg/L. Subsequent host optimization through NADPH regeneration and pathway knockout, combined with fermentation optimization, increased the titer to 167.45 mg/L. Ultimately, whole-cell biocatalysis achieved 450.72 mg/L, establishing the highest reported acetate-based limonene titer. Overall, this study establishes a framework for biosynthesis of high-value terpenoids from nonfood feedstocks and demonstrates acetate as a promising carbon source for advanced bioproduction systems.",2026,Journal of agricultural and food chemistry,fragrance,unspecified,unspecified,unspecified,unspecified,industrial/occupational,no,"This paper focuses on biosynthesizing a fragrance compound using a microorganism, but it does not address the health effects of chemical toxicants in cosmetic products."
41805012,Revisiting Contact Sensitization Among Patients With LPP/FFA: Cross-Sectional Findings From 55 Cases.,"Lichen planopilaris (LPP) is an inflammatory disease results in scarring alopecia. Frontal fibrosing alopecia (FFA) is considered a variant due to similar histological features. A possible link has been suggested between exposure to various products and disease development, although research findings have been inconsistent. To assess the prevalence of delayed allergic reactions to commonly used topical agents in patients with LPP/FFA. A real-world observational study compared patch test results between LPP/FFA patients and a matched control group from routine clinical practice (2018-2023). Patch testing was conducted using the: European Baseline, Cosmetics, Hairdressing, and Sunscreen. The control group included patients without LPP/FFA underwent the same test panels. A total of 23 patients with FFA, 32 patients with LPP, and 171 controls were evaluated. Positive reactions in the European Baseline Series occurred in 26% of FFA patients, compared to 37% in the LPP patients and 56% in the control group. Common allergens included nickel and fragrance mix I, but their prevalence did not exceed rates in the general Israeli population. LPP/FFA patients had fewer positive reactions to cosmetics, hair products, and sunscreens. No clinically relevant reactions were demonstrated in the study. Patch test reactivity rates in LPP/FFA patients did not exceed those observed in the control group.",2026,"Dermatitis : contact, atopic, occupational, drug",fragrance,immune system,skin sensitization,sunscreen,unspecified,cosmetics product study | sunscreen/UV filter study | hair product study | skin/topical study | clinical/hospital study | epidemiological study,yes,"This paper investigates the link between exposure to cosmetic products and the development of inflammatory diseases, which is relevant to understanding the health effects of chemical toxicants in cosmetic products."
41799738,The OfJAZ3-OfMYB21 complex mediates jasmonic acid signaling pathway to regulate linalool biosynthesis in <i>Osmanthus fragrans</i>.,"<i>Osmanthus fragrans</i> is a well-known ornamental tree species for its pleasing floral fragrance. Linalool, as the characteristic aromatic component of <i>O. fragrans</i>, holds significant potential for applications in the flavor and fragrance industry. Although jasmonic acid (JA) is well documented to regulate the biosynthesis and accumulation of various plant secondary metabolites, its role in linalool biosynthesis remains largely unclear. Here, we discovered a positive correlation between the endogenous JA levels and linalool accumulation during the flowering stage of <i>O. fragrans</i>. Exogenous JA treatment was shown to enhance linalool biosynthesis by activating the linalool synthase gene <i>OfTPS2</i>. Dual-LUC and EMSA assays demonstrated that the key protein in the JA signaling pathway, OfJAZ3, interacted with OfMYB21 and subsequently suppressed the transcriptional activation of <i>OfTPS2</i> mediated by OfMYB21. Functional validation further revealed that overexpression of <i>OfJAZ3</i> significantly inhibited linalool biosynthesis in <i>O. fragrans</i>, <i>A. thaliana</i>, and <i>N. tabacum</i> plants. In contrast, JA promoted the degradation of OfJAZ3, thereby disrupting the formation of the OfJAZ3-OfMYB21 complex and relieving its inhibitory effect on <i>OfTPS2</i>. Split-LUC, BiFC, and pull-down assays confirmed that OfJAZ3 interacted with the F-box protein OfCOI1 (a key component of the E3 ubiquitin ligase SCF<sup>COI1</sup> complex), and JA treatment enhanced the strength of this interaction. Moreover, OfCOI1 was found to participate in <i>OfTPS2</i> regulation by facilitating the ubiquitination and degradation of OfJAZ3. In conclusion, our findings elucidate the molecular mechanism by which OfJAZ3-OfMYB21 complex mediates JA signaling to regulate linalool biosynthesis in <i>O. fragrans</i>.",2026,Horticulture research,fragrance,unspecified,unspecified,unspecified,unspecified,unclassified,no,"This paper explores the regulation of linalool biosynthesis in a plant species, but it does not address the health effects of chemical toxicants in cosmetic products."
41787634,Association Between Contact Allergy to Epoxy Resin and Fragrance Mix I in the General Population: EDEN Fragrance Study Group.,,2026,Contact dermatitis,fragrance,immune system,unspecified,unspecified,unspecified,unclassified,no,The paper focuses on contact allergy to specific chemicals (epoxy resin and Fragrance Mix I) rather than the broader health effects of chemical toxicants in cosmetic products.
41769849,Patch Test Reactions Associated with Food Sources: A Retrospective Analysis of the North American Contact Dermatitis Group Data (2001-2018).,"<u><b><i></i></b></u><u><b><i>Background:</i></b></u> Contact dermatitis due to food exposure is underrecognized.<u><b><i>Objectives:</i></b></u> To characterize relevant allergens associated with food sources and analyze patient and clinical characteristics associated with food-related allergen exposure in patients with a currently relevant positive patch test reaction (PPTR).<u><b><i>Methods:</i></b></u> We retrospectively analyzed North American Contact Dermatitis Group data from 2001 to 2018, identifying relevant allergens linked to food sources. Patients with currently relevant PPTRs were divided into food-related and non-food-related exposure groups for comparison.<u><b><i>Results:</i></b></u> Among 43,722 patients, 867 (2.0%) had at least one currently relevant food-related PPTR, accounting for 936 PPTR reactions. The most common allergens were nickel (411, 43.9%), Balsam of Peru (BOP, 287, 30.7%), and fragrance mix 1 (FM1, 60, 6.4%). Carvone (24/139 [17.3%]) and sodium metabisulfite (10/87 [11.5%]) showed the highest food-related proportions. Among 867 food-related patients, the most commonly affected areas were generalized (30.22%) and the hand (19.26%). Patients having food-related PPTR were significantly less likely to involve the hand (OR, 0.59; <i>P</i> < 0.0001) and face (OR, 0.43; <i>P</i> < 0.0001) as compared with nonfood-related patients. Food exposure was associated with a higher likelihood of anogenital dermatitis (<i>P</i> ≤ 0.01 for nickel sulfate, BOP or FM1).<u><b><i>Conclusion:</i></b></u> Nickel, BOP, and FM1 were the most common food-related allergens. Common sites of dermatitis in patients with food-related PPTR were generalized, anogenital areas, and hands, although involvement of the hands and face was significantly less likely compared with nonfood-related cases.",2026,"Dermatitis : contact, atopic, occupational, drug",fragrance,immune system,skin sensitization,unspecified,unspecified,clinical/hospital study,no,"This paper focuses on food sources and contact dermatitis, not chemical toxicants in cosmetic products."
41713461,Repeated Exposure to Hydroperoxides of Linalool Induces Immunologically Verified Allergic Contact Dermatitis.,"Fragrance allergens are a leading cause of contact allergy (CA). Linalool, common in cosmetics and household products, forms sensitising hydroperoxides (Lin-OOH) upon air exposure. Lin-OOH is linked to a high prevalence (3.9%-11.7%) of positive patch test results, but often gives rise to doubtful or irritant reactions. To reassess patch test concentrations of Lin-OOH, determine elicitation threshold under repeated exposure, and explore associated immunological responses. Patch testing was followed by a twice daily, 21 days repeated open application test (ROAT) using a Lin-OOH-containing simulated perfume at three different concentrations (blinded to the participants and the investigators). Twelve sensitised individuals with CA to Lin-OOH and 20 healthy controls were included. Skin biopsies from a subset were analysed via RT-qPCR. Lin-OOH 1.0% was the most reliable patch test concentration to confirm CA in our patient cohort. Positive ROAT reactions occurred in 4/12 (33%) patients at 0.163% Lin-OOH (1630 ppm), 2/12 (17%) at 0.054% (538 ppm) and 1/12 (8%) at 0.018% (179 ppm); none in controls. Gene expression analysis showed upregulation of IL1 family members (IL1β and IL1RN), type 2 immune response (IL4 and GATA3) and chemokines (CCL22). Lin-OOH elicited dose-dependent reactions in sensitised individuals during both patch testing and simulated use (ROAT). Molecular profiling of biopsy samples confirmed activation of immune pathways consistent with CA to fragrances following patch testing.",2026,Contact dermatitis,fragrance,skin | immune system,skin sensitization | immune disruption,perfume,unspecified,cosmetics product study | clinical/hospital study | epidemiological study,yes,"This paper investigates the immunologically verified allergic contact dermatitis caused by hydroperoxides of linalool, a common fragrance in cosmetics."
41709667,Deciphering Flavor Characteristics and Brand Differences of Braised Sauce Used for Guilin Rice Noodles.,"Guilin rice noodles (GRN) are the most representative delicious food of the world-famous tourist city of Guilin. The braised sauce is the soul of GRN and also a commercial secret, which few people know much about. This study employed multi-platform flavor analysis methods, including E-nose, E-tongue, GC-IMS, HS-SPME-GC-MS, high-performance liquid chromatography (HPLC), recombination and omission experiment, and chemometrics, to delve into the flavor characteristics and discrimination of the braised sauce from six original renowned brands of GRN. The results showed that the characteristic odorants and their concentration ranges were as follows: anethole (10,073.36-77,218.90 µg/kg), eugenol (1520.80-15,518.71 µg/kg), estragole (898.58-17,161.72 µg/kg), limonene (7.34-1221.63 µg/kg), geraniol (9.67-882.31 µg/kg), and ethyl p-methoxycinnamate (112.73-867.76 µg/kg), which imparted the odors of clove, fennel, fruity aroma, sweet, and herbal fragrance. The key tastants and their concentration ranges were listed below: glutamic acid (10.23-28.90 mg/g), aspartic acid (1.09-2.36 mg/g), alanine (0.67-2.27 mg/g), valine (0.41-0.96 mg/g), histidine (0.69-1.36 mg/g), and inosine monophosphate (318.41-596.80 mg/kg), which mainly present umami and sweet tastes. A total of 28 discriminative odorants and 5 discriminative tastants were screened out, and a discrimination model for different brands of the braised sauce was constructed. The findings provide a reference for formulating quality standards, offer guidance for consumers in brand selection, and are of great significance for the publicity and promotion of GRN.",2026,Journal of food science,fragrance,unspecified,unspecified,unspecified,unspecified,food/dietary exposure | analytical/method study,no,"This paper is about flavor characteristics and brand differences of a specific food product, not chemical toxicants in cosmetic products."
