pmid,title,abstract,pub_year,journal,toxicant,organs,health_effects,products,ingredients,inference,relevant,relevance_reason
41809661,Sustainable photocatalytic removal of cosmetic preservative parabens over a dual S-scheme TiO<sub>2</sub>/ZnO/g-C<sub>3</sub>N<sub>4</sub> catalyst under natural sunlight irradiation.,"Parabens, such as MeP or EtP, are common ingredients of widely used synthetic preservatives in cosmetics or personal care products. Extensive use of those products eventually leads to their persistence in aquatic environments, posing ecological and health risks. In the present work, a ternary dual S-scheme photocatalyst, TiO<sub>2</sub>/ZnO/g-C<sub>3</sub>N<sub>4</sub> (TZC), was rationally synthesized and comprehensively characterized using XRD, FTIR, FESEM, HRTEM, XPS, TGA, UV-vis DRS, PL, and N<sub>2</sub> sorption analyses. The results confirmed the successful construction of a well-coupled heterojunction with optimized band alignment, facilitating efficient charge transfer and visible-light utilization. Under sunlight irradiation, the TZC composite exhibited markedly enhanced photocatalytic activity, achieving 97.6% and 98.3% degradation of MeP and EtP, respectively, within 90 min of sunlight exposure. Kinetic analysis revealed first-order degradation behaviour, while radical quenching experiments identified ˙OH as the predominant reactive oxygen species responsible for the photocatalytic oxidation of parabens. The superior performance was attributed to the synergistic effects of the dual S-scheme charge transfer, which promoted the spatial separation of photogenerated charge carriers and preserved a strong redox potential. The heterogeneity test showed the catalyst was purely active in the solid phase and recyclable up to six cycles with a marginal decrease in efficiency of ∼8%. Furthermore, LC-MS analysis enabled the identification of intermediate degraded species, and a plausible degradation pathway was proposed. This study not only demonstrates the efficacy of a dual S-scheme TZC heterojunction in the solar-driven removal of cosmetic parabens but also provides mechanistic insights into its potential for sustainable water purification applications.",2026,RSC advances,parabens,unspecified,oxidative stress,unspecified,unspecified,cosmetics product study | analytical/method study,yes,"This paper is relevant because it discusses the removal of parabens, a type of chemical toxicant commonly found in cosmetic products, from aquatic environments."
41692689,Allergic Risk of Moisturising Cosmetic Products: A Study on the Composition of 300 Products Commercialised in Tunisia.,"Moisturising cosmetic products (MCP) formulations may contain ingredients known to trigger allergic contact dermatitis. Claims such as 'hypoallergenic' or 'fragrance-free' are commonly used in marketing, yet these terms are not consistently regulated, potentially posing a risk for patients with allergic contact dermatitis. To assess the allergenic potential of moisturisers by analysing their ingredients and determining the prevalence of contact allergens. A survey conducted between April and June 2023. MCPs were collected from supermarkets and pharmacies. Data analysis focused on allergen prevalence and product origin. All products were systematically screened for seven targeted allergenic components by reviewing their ingredient labels (INCI): isothiazolinones, phenoxyethanol, formaldehyde and its releasers, lanolin, fragrances, parabens and propylene glycol. All allergens included in our study were systematically searched for all relevant synonyms in both English and French. Three hundred products were analysed, including 153 items (51%) from supermarkets and 147 (49%) from pharmacies. Fragrances were the most frequently identified allergens, present in 84.7% of formulations. Only 15.3% of products were free from fragrances and plant extracts. Among those labelled 'fragrance-free', 86.8% (46 of 53) were truly free of fragrances. Isothiazolinones were found in 7% of products, predominantly in leave-on formulations and locally manufactured brands. Formaldehyde-releasing agents were detected in 10.3% of products, with higher prevalence in supermarkets and leave-on items. Parabens were present in 10.7%, including two products with hydroxybenzoate. Propylene glycol was identified in 28% of products; still, 24.3% (18 of 74) of hypoallergenic-labelled products contained it. Phenoxyethanol appeared in 37.7% of formulations and was more common in supermarket-sold products. Lanolin was found in 2.7% of the products. The study highlights a high prevalence of contact allergens in MCPs, including those marketed as hypoallergenic.",2026,Contact dermatitis,parabens,immune system,skin sensitization,moisturizer,lanolin | propylene glycol | phenoxyethanol,cosmetics product study | skin/topical study | clinical/hospital study | epidemiological study,yes,"This paper investigates the allergenic potential of moisturising cosmetic products, which involves analyzing the ingredients that can trigger allergic contact dermatitis, a health effect related to chemical toxicants in cosmetic products."
41687338,Suspect screening of plastic additives in baby skincare products.,"Baby skincare products are extensively used on infant skin, yet their contamination with plastic additives (PAs) remains poorly understood. This study employed an integrated analytical approach combining high-resolution mass spectrometry-based suspect screening and target quantification to investigate PAs in 55 commercial baby skincare products, including lotions, powders, and shampoo-bath foams. A total of 121 PAs were identified, with 99 compounds confirmed and quantified using reference standards. Among the identified PAs, over 20 were reported for the first time in baby skincare formulations, including emerging plasticizers and transformation products (specifically derivatives of organophosphate esters, synthetic antioxidants, and UV stabilizers). The identification of these transformation products highlights a significant yet often overlooked source of chemical complexity and potential risk in these products. Target analysis revealed a median total concentration of PAs at 3,220 ng/g, with non-phthalate plasticizers constituting the most abundant group (median: 1,090 ng/g), followed by organophosphate esters (289 ng/g), ultraviolet stabilizers (227 ng/g), phthalate esters (205 ng/g), synthetic antioxidants (77.8 ng/g), parabens (13.9 ng/g), and bisphenols (7.45 ng/g). The levels and composition profiles of PAs also exhibited distinct product-specific patterns. Although estimated dermal exposure levels in infants and toddlers were generally low, the frequent detection and wide chemical diversity of PAs raise concerns about cumulative and mixture exposures during sensitive developmental windows. Our work provides a systematic characterization of chemical profiles in baby skincare products, offering critical data for product safety assessment.",2026,Environment international,parabens,skin,oxidative stress,shampoo,unspecified,hair product study | skin/topical study | analytical/method study,yes,"This paper investigates the presence of plastic additives in baby skincare products, which are a type of cosmetic product, and explores their potential health effects."
41658751,Oryza Ceramax in Dermatologic Care: A Multi-pathway Approach to Skin Hydration and Barrier Repair.,"Environmental stressors, including climate change, pollution, and lifestyle factors, can disrupt the skin barrier, leading to dryness and exacerbating conditions such as atopic dermatitis (AD), acne, and psoriasis. Effective barrier repair requires maintaining hydration and lipid balance, particularly the ceramide-cholesterol-fatty acid ratio of 3:1:1, which is recommended by dermatological societies for optimal skin restoration. Although traditional moisturizers provide hydration through occlusives, humectants, and emollients, they often do not achieve sustained barrier repair or adequate intracellular hydration. Next-generation moisturizers are designed with bioactive ingredients that aim to both hydrate and support barrier repair by reducing inflammation, modulating the microbiome, and promoting skin homeostasis. Oryza Ceramax (Alaina Healthcare; Alembic Pharmaceuticals Pvt. Ltd., Vadodara, India), a next-generation moisturizer incorporating a 3:1:1 ceramide-cholesterol-fatty acid ratio, includes aquaporin (AQP) boosters, naturally sourced betaine, saffron extract, hyaluronic acid, and other bioactive components that resemble the skin's natural lipid composition. Clinical evidence supports the efficacy of ceramide-dominant formulations in improving hydration and reducing transepidermal water loss (TEWL), with studies reporting TEWL reductions of approximately 10% and hydration improvement lasting up to 72 hours. Oryza Ceramax is formulated to align with dermatologic recommendations for use in dry or impaired skin and is free from parabens, alcohol, mineral oil, and soap (PAMS-free). Its formulation characteristics are consistent with evidence-based principles for skin barrier protection and hydration maintenance. This narrative review examines the science underlying multi-pathway approaches to skin barrier repair and hydration, using Oryza Ceramax as an example of a ceramide- and AQP-based formulation. The findings highlight emerging strategies in moisturizer design but also emphasize the need for independent, well-controlled clinical studies to validate these observations.",2026,Cureus,parabens,skin,unspecified,moisturizer | soap,hyaluronic acid | ceramides | mineral oil,skin/topical study,no,"This paper focuses on the development and benefits of a specific moisturizer, Oryza Ceramax, rather than the health effects of chemical toxicants in cosmetic products."
41625410,Hair Products Marketed to Adolescents on Social Media: A Cross-Sectional Study.,"Social media is widely used by adolescents and hair products are frequently promoted on these platforms. However, little is known about marketing strategies or potential dermatologic risks. We analyzed the first 100 TikTok and 50 Instagram posts using the hashtags ""#teenhaircare,"" ""#tweenhaircare,"" and ""#hairtok"" (10/05/2025-10/15/2025). Eligible posts were English language, ≤2 years old, and promoted hair products or routines intended for adolescents (aged 9-18). Posts were coded for promoter type, marketing strategy, product category, claims, hair type, and ingredients. Influencers comprised 44.7% of creators, and brands accounted for 19.3%. Common marketing strategies included colorful packaging (50.7%) and ""natural/clean"" labeling (27.3%). Key claims included ""shiny hair"" (34%) and ""damage repair"" (26.7%). Most products (82%) contained allergens/irritants such as fragrance, sulfates, silicones, or parabens. Only 2.6% of posts were created by dermatologists and only 6% targeted afro-ethnic hair types. Marketing of adolescent hair products on social media is dominated by influencers with minimal dermatologist oversight. Many promoted products contain allergens or irritants that may contribute to contact dermatitis. Dermatologists should inquire about hair-care practices during adolescent visits and advocate for improved oversight of influencer marketing.",2025,Skin appendage disorders,parabens,immune system,skin sensitization,unspecified,silicone,hair product study | epidemiological study,no,"This paper focuses on marketing strategies and potential dermatologic risks of hair products on social media, rather than the health effects of chemical toxicants in cosmetic products."
41518767,Polyimide nanosheets based magnetic solid-phase extraction for the extraction of parabens from cosmetic samples followed by gas chromatography-mass spectrometry.,"This study introduces a novel magnetic composite based on polyimide nanosheets (Fe<sub>3</sub>O<sub>4</sub>@PINSs), designed for the highly efficient extraction of parabens from cosmetics. The composite was fabricated by combining Fe<sub>3</sub>O<sub>4</sub> nanoparticles with polyimide nanosheets, yielding a material with excellent magnetic responsiveness (21.3 emu/g) and a high surface area (141 m<sup>2</sup>/g), both of which enhance separation and adsorption performance. The Fe<sub>3</sub>O<sub>4</sub>@PINSs composite was employed as the adsorbent in a magnetic solid-phase extraction (MSPE) protocol targeting six prevalent parabens in cosmetics, followed by gas chromatography-mass spectrometry (GC-MS) detection. A comprehensive study was carried out to optimize critical extraction and desorption parameters, including adsorbent dosage, extraction time, ionic strength, pH, desorption solvent selection, solvent volume, and desorption time. Under the optimized conditions, the Fe<sub>3</sub>O<sub>4</sub>@PINSs-based MSPE/GC-MS method exhibited a wide linear range (0.1-100 μg/L or 0.2-100 μg/L), high sensitivity (limits of detection of 0.037-0.077 μg/L), and good reproducibility (relative standard deviations ≤ 9.6%, n = 3). The calculated enrichment factors were between 15 and 19. When applied to real cosmetic samples-including hand creams, facial cleansers, and moisturizing lotions-the method provided reliable results, with recoveries ranging from 82.8% to 114.7%. Compared with previously reported methods, the proposed method shows comparable or better performance, with the notable advantage of a short extraction time (5 min). These findings suggest that the Fe<sub>3</sub>O<sub>4</sub>@PINSs composite has great potential as an adsorbent material in MSPE. The developed method is suitable for routine monitoring of parabens in cosmetic products, offering advantages of simplicity, rapidity, high sensitivity, accuracy, and precision.",2026,Journal of chromatography. A,parabens,unspecified,unspecified,face wash | lotion,unspecified,cosmetics product study | skin/topical study | analytical/method study,no,"This paper focuses on the extraction of parabens from cosmetic samples, but does not discuss the health effects of parabens."
41307807,Endocrine-disrupting chemicals in cosmetics: mechanistic insights and their impact on human and skin health.,"The increasing use of cosmetics and therapeutic products has raised concerns about their effects on skin health and overall well-being. This review focuses on the toxicological impact of cosmetic ingredients, particularly endocrine-disrupting chemicals (EDCs) such as benzophenones, triclosan, phthalates, and parabens. Frequently present in skincare, haircare, and cosmetic products, these compounds have been associated with adverse outcomes, including carcinogenesis, skin disorders, hormonal imbalances, and reproductive health issues. Despite extensive research on parabens, phthalates, triclosan, and benzophenones, significant uncertainties persist, underscoring the need for further investigation to understand previous findings better. To mitigate these risks, the review recommends adopting safer alternatives, increasing consumer awareness, and enforcing stricter regulatory measures. This comprehensive analysis aims to bridge existing knowledge gaps, empower consumers to make informed choices, and advocate for strict safety standards in personal care products to safeguard skin health and support long-term well-being.",2025,Reviews in endocrine & metabolic disorders,parabens,skin,carcinogenicity,unspecified,unspecified,cosmetics product study | clinical/hospital study,yes,"This paper focuses on the health effects of endocrine-disrupting chemicals in cosmetic products, which are a key area of interest for the study on health effects of chemical toxicants in cosmetic products."
41302415,Negative Paper Spray Ionization Mass Spectrometry for the Determination of Endocrine-Disrupting Chemicals with Application to Paraben Analysis in Cosmetics.,"Paper spray ionization mass spectrometry (PSI-MS) enables rapid analysis with minimal sample preparation, yet negative-ion mode performance has been limited by poor sensitivity and unstable signals, similar to conventional electrospray ionization. In this study, we optimized negative PSI tandem MS (MS/MS) for twelve endocrine-disrupting chemicals (EDCs) and related biomarkers-including bisphenols, phthalates, parabens, and substituted phenols-used as model analytes. A systematic solvent and additive screen identified 1 mM ammonium fluoride in methanol and 0.1% ammonium hydroxide in 9:1 MeOH/carbon tetrachloride as optimal conditions, providing enhanced deprotonated-ion intensities and improved stability. Calibration curves generated under these conditions showed excellent linearity, with limits of quantitation (LOQs) in the low-ppb range. Application to cosmetic formulations demonstrated reliable paraben quantitation. In fortified hand cream, LOQs below 1 mg/kg were achieved, with recoveries of 93-110% and intra- and inter-day precision below 10% RSD. Notably, PSI-MS/MS performance was comparable to LC-MS/MS, without a separation step. These results demonstrate the feasibility of optimized negative PSI-MS as a sensitive and robust tool for paraben determination in cosmetics and highlight its potential as a versatile platform for broader EDC quantification.",2025,"Molecules (Basel, Switzerland)",parabens,unspecified,unspecified,lotion,unspecified,cosmetics product study | skin/topical study | biomonitoring study | analytical/method study,yes,"This paper is relevant because it discusses the analysis of parabens, a type of endocrine-disrupting chemical found in cosmetics, using a specific mass spectrometry technique."
41262156,Risk perception of personal care products: A scoping review of knowledge translation strategies in environmental health.,"Personal care products (PCPs), including cosmetics and skincare products, have seen increased usage over the past two decades. Increasing evidence suggests that certain ingredients in PCPs pose health and environmental risks. For instance, parabens, commonly used as preservatives, are associated with increased cancer risks and reproductive toxicity among women. Despite the availability of safer alternatives, many lack the knowledge to identify harmful substances in PCPs and to seek out alternatives. Knowledge translation (KT) tools offer a solution to bridge this gap by simplifying complex information to improve risk perception. This review aimed to identify effective elements of mobile applications as KT tools focused on environmental health, to increase risk perception and promote behavior change. A comprehensive scoping review was conducted by searching various databases including PubMed, Google Scholar, Ovid Medline, and CINAHL, yielding 1092 articles. An additional 240 sources related to user-app reviews of 8 mobile apps were identified through a manual Google search. All sources underwent title and (if applicable) screening, followed by full-text review for eligibility. The review included a total of 16 relevant articles, 7 websites, and 6 user app reviews. Key findings revealed 11 elements categorized into 4 main themes: toolkit accessibility and affordability, simplicity of presented information, personalization of features, and a clear focus on knowledge sharing. Using the elements identified in this research, future studies should focus on creating and evaluating environmental health toolkits to build capacity for effective knowledge translation that enhances environmental health awareness and health promotion.",2025,Journal of public health research,parabens,skin,reproductive toxicity | carcinogenicity,unspecified,unspecified,cosmetics product study,yes,"This paper is relevant because it discusses the health risks associated with certain ingredients in personal care products, including cosmetics and skincare products."
41058610,Environmental hazard ingredients in women's hair growth cosmeceuticals: a comprehensive analysis.,"Hair growth cosmeceuticals (HGCs) for women have become increasingly popular. We sought to analyze the ingredients of HGCs and their potential environmental hazards. A cross-sectional study was conducted using a Google Boolean search to identify the top 10 nonsponsored articles on HGCs. After applying exclusion criteria, 58 unique HGCs marketed as either unisex or female products were analyzed. Ingredients were documented from product websites, and HGCs were categorized based on specific ingredients with potential environmental concerns. The study found that phenoxyethanol (32.8%) and synthetic fragrances (25.9%) were the most common ingredients with potential environmental implications, with trisodium Ethylenediaminetetraacetic acid (EDTA), trisodium ethylenediamine disuccinate, isobutane, butane, n-butane, ethylhexyl methoxycinnamate, and benzophenone-4 also found. Ingredients such as sodium lauryl sulfate, parabens, and microbeads were, however, not found in any of the products evaluated. The study was limited by potential reporting and sampling bias. Significant environmental hazards, particularly to aquatic habitats, have been associated with specific ingredients commonly found in HGCs.",2025,International journal of women's dermatology,parabens,unspecified,unspecified,unspecified,Sodium Lauryl Sulfate / Sodium Laureth Sulfate | phenoxyethanol,epidemiological study,yes,"This paper is relevant to the health effects of chemical toxicants in cosmetic products because it specifically analyzes the ingredients of hair growth cosmeceuticals with potential environmental hazards, which can also be toxic to human health."
