pmid,title,abstract,pub_year,journal,toxicant,organs,health_effects,products,ingredients,inference,relevant,relevance_reason
41769204,MICROWAVE BIOSENSORS for SINGLE-CELL DIELECTRIC CHARACTERIZATION: a REVIEW.,"The dielectric property of biological cells exhibits a rich frequency-dependent behavior that is related to the cellular structure, function and molecular makeup. Assessing the dielectric properties of single cells offers a label-free and non-invasive method for disease diagnosis, cell identification, and monitoring of cellular structure and function. This article reviews the fundamentals and applications of microwave biosensors for single-cell analysis, with a focus on how electromagnetic interactions across the α-, β- and γ-dispersion regimes can be leveraged to extract cellular parameters such as membrane capacitance, cytoplasmic conductivity, and intracellular hydration. We begin by discussing the physical principles of dielectric dispersion and the equivalent circuit models in biological cells that underpin microwave-based sensing. We then examine major classes of sensing platforms, including transmission line sensors, capacitive electrode arrays, and resonant structures, highlighting their design strategies, strength and weakness, and applications in single-cell sensing. The role of dielectrophoresis (DEP) as both a manipulation tool and a sensing mechanism is also discussed, particularly in the context of hybrid systems that combine low-frequency trapping with high-frequency dielectric readout. Together, these technologies represent a convergence of microwave engineering, biophysics, and microsystem design to enable high-resolution, real-time interrogation of single cells. After describing the theoretical foundations with recent experimental advances, we provide a perspective on the design of next-generation dielectric biosensors tailored to the demands of single-cell diagnostics, drug screening, and functional phenotyping.",2026,IEEE microwave magazine,phthalates,unspecified,unspecified,foundation,unspecified,cosmetics product study | clinical/hospital study,no,"This paper focuses on the development and application of microwave biosensors for single-cell analysis, which is unrelated to the health effects of chemical toxicants in cosmetic products."
41699818,Detection of phthalate compounds in wet wipes using LC-MS/MS: risk assessment and LC-QTOF/MS findings.,"Phthalates, widely used as plasticizers, pose significant health risks due to their endocrine-disrupting properties. This study aimed to determine the concentrations of 11 phthalate derivatives, including diethyl phthalate (DEP), bis(2-ethylhexyl) phthalate (DEHP), di-<i>n</i>-octyl phthalate, and dimethyl phthalate, in wet wipe samples using LC-MS/MS. A total of 15 wet wipe samples were randomly selected from supermarkets and restaurants. DEP was detected in all samples, with the highest concentration observed in one sample, while five samples contained additional phthalate derivatives. A risk assessment was conducted to evaluate non-carcinogenic and carcinogenic risks associated with dermal exposure to phthalates. The Margin of Safety values for non-carcinogenic effects were within acceptable limits, and the lifetime cancer risk for DEHP remained below the accepted safety threshold. LC-QTOF/MS analysis revealed additional undeclared compounds, including potential allergens and irritants, raising concerns about product safety. However, despite these risk-based findings, the detection of DEHP and DBP represents regulatory noncompliance, as these substances are explicitly prohibited in cosmetic products under European Union and Turkish regulations. Packaging assessment showed that six out of fifteen samples failed to meet national labeling requirements. Overall, the findings emphasize the need for stricter regulatory enforcement and transparent labeling to ensure consumer safety.",2026,"Journal of environmental science and health. Part A, Toxic/hazardous substances & environmental engineering",phthalates,skin | immune system,carcinogenicity,unspecified,unspecified,cosmetics product study | analytical/method study,yes,"This study detects phthalate compounds in wet wipes, which are a type of cosmetic product, highlighting their potential health risks."
41691662,Impact of Major Contaminants of Emerging Concern (CECs) on Soil and Associated Health Issues.,"Land directly affects people's health and well-being. Soil is essential for social and economic growth. It is impossible to overstate the urgency of conserving soil, as it is crucial for fostering the development of an ecological civilization and maintaining household stability. A new significant threat to soil health and fertility has emerged in the form of contaminants of emerging concern (CECs). Unlike other pollutants, these CECs (e.g., pharmaceuticals, cosmetics, PFAS, and microplastics) are resistant to microbial degradation; therefore, they persist in soil and can enter the food chain or pollute groundwater supplies. Several researchers worldwide have shown that CECs destroy soil microflora, impair ecological balance, and reduce soil fertility and agricultural productivity. Recent experimental studies have confirmed their presence in cell culture and experimental animal models at concentrations ranging from nanomolar (nM) to millimolar (mM) levels. The unrestricted use of these CECs has resulted in their bioaccumulation at higher levels in the food chain, ultimately reaching human beings. Despite their hazardous nature, no definite environmental laws or FDA regulations exist, adding fuel to the fire. Therefore, we aim to highlight the environmental implications of these CECs and the steps needed to prevent them from transforming into an environmental catastrophe. This review focuses on five key CECs, including nanoparticles, cosmetic additives (phthalates and biphenyls), flame retardants, and microplastics, along with their environmental implications.",2026,"Recent advances in food, nutrition & agriculture",phthalates,unspecified,reproductive toxicity,unspecified,unspecified,cosmetics product study | environmental contamination,no,"This paper focuses on the impact of contaminants of emerging concern on soil health, rather than the health effects of chemical toxicants in cosmetic products on human health."
41687338,Suspect screening of plastic additives in baby skincare products.,"Baby skincare products are extensively used on infant skin, yet their contamination with plastic additives (PAs) remains poorly understood. This study employed an integrated analytical approach combining high-resolution mass spectrometry-based suspect screening and target quantification to investigate PAs in 55 commercial baby skincare products, including lotions, powders, and shampoo-bath foams. A total of 121 PAs were identified, with 99 compounds confirmed and quantified using reference standards. Among the identified PAs, over 20 were reported for the first time in baby skincare formulations, including emerging plasticizers and transformation products (specifically derivatives of organophosphate esters, synthetic antioxidants, and UV stabilizers). The identification of these transformation products highlights a significant yet often overlooked source of chemical complexity and potential risk in these products. Target analysis revealed a median total concentration of PAs at 3,220 ng/g, with non-phthalate plasticizers constituting the most abundant group (median: 1,090 ng/g), followed by organophosphate esters (289 ng/g), ultraviolet stabilizers (227 ng/g), phthalate esters (205 ng/g), synthetic antioxidants (77.8 ng/g), parabens (13.9 ng/g), and bisphenols (7.45 ng/g). The levels and composition profiles of PAs also exhibited distinct product-specific patterns. Although estimated dermal exposure levels in infants and toddlers were generally low, the frequent detection and wide chemical diversity of PAs raise concerns about cumulative and mixture exposures during sensitive developmental windows. Our work provides a systematic characterization of chemical profiles in baby skincare products, offering critical data for product safety assessment.",2026,Environment international,phthalates,skin,oxidative stress,shampoo,unspecified,hair product study | skin/topical study | analytical/method study,yes,"This paper investigates the presence of plastic additives in baby skincare products, which are a type of cosmetic product, and explores their potential health effects."
41317407,"Organophosphate pesticide metabolite concentrations in a pregnancy cohort: daily variability, and predictors of exposure.","Organophosphates (OP) are commonly used agricultural pesticides. In 2009-2010, 80 pregnant women were recruited from Ottawa, Canada for the Plastics and Personal-care Product use in Pregnancy (P4) Study. A subset (n = 25) collected multiple spot urines (up to 10 each; total n = 431) over two 24-h periods in early pregnancy - one weekday and weekend day - while logging their food consumption beginning 24 h prior to the first urine void and continuing through the following 24-h urine collection period. Urine samples (n = 431 samples) were analyzed for six dialkyl OP metabolites, dimethyldithiophosphate (DMDTP), dimethylthiophosphate (DMTP), dimethylphosphate (DMP), diethyldithiophosphate (DEDTP), diethylthiophosphate (DETP), and diethylphosphate (DEP). This is the first study to look at within day variability of OP pesticide metabolites. Intra-class correlation coefficients (ICC's) were highest for DMP on weekend days (0.82) and lowest for DEDTP (0.35). Using a single spot urine to predict high urinary concentrations compared to the geometric mean of the participant's remaining samples for that day showed median sensitivities ranging from 67 to 87 % (weekday) and 73-81 % (weekend). This study was underpowered to see clear group differences; however molar sum dialkyl phosphate (DAP) metabolite concentrations over the 24 h weekday collection period increased or remained stable in urine samples collected >6-12 h post-consumption of most food groups. We encourage future research with a larger sample size and more diverse participants, with a focus on OPs that are increasing or remaining stable over time including DEP and metabolites of pyrethroids, and neonicotinoids.",2026,International journal of hygiene and environmental health,phthalates,unspecified,unspecified,unspecified,unspecified,epidemiological study | biomonitoring study | no cosmetics context,no,"Although organophosphates are a type of chemical toxicant, this study focuses on pesticide exposure rather than cosmetic product exposure."
41307807,Endocrine-disrupting chemicals in cosmetics: mechanistic insights and their impact on human and skin health.,"The increasing use of cosmetics and therapeutic products has raised concerns about their effects on skin health and overall well-being. This review focuses on the toxicological impact of cosmetic ingredients, particularly endocrine-disrupting chemicals (EDCs) such as benzophenones, triclosan, phthalates, and parabens. Frequently present in skincare, haircare, and cosmetic products, these compounds have been associated with adverse outcomes, including carcinogenesis, skin disorders, hormonal imbalances, and reproductive health issues. Despite extensive research on parabens, phthalates, triclosan, and benzophenones, significant uncertainties persist, underscoring the need for further investigation to understand previous findings better. To mitigate these risks, the review recommends adopting safer alternatives, increasing consumer awareness, and enforcing stricter regulatory measures. This comprehensive analysis aims to bridge existing knowledge gaps, empower consumers to make informed choices, and advocate for strict safety standards in personal care products to safeguard skin health and support long-term well-being.",2025,Reviews in endocrine & metabolic disorders,phthalates,skin,carcinogenicity,unspecified,unspecified,cosmetics product study | clinical/hospital study,yes,"This paper focuses on the health effects of endocrine-disrupting chemicals in cosmetic products, which are a key area of interest for the study on health effects of chemical toxicants in cosmetic products."
41302415,Negative Paper Spray Ionization Mass Spectrometry for the Determination of Endocrine-Disrupting Chemicals with Application to Paraben Analysis in Cosmetics.,"Paper spray ionization mass spectrometry (PSI-MS) enables rapid analysis with minimal sample preparation, yet negative-ion mode performance has been limited by poor sensitivity and unstable signals, similar to conventional electrospray ionization. In this study, we optimized negative PSI tandem MS (MS/MS) for twelve endocrine-disrupting chemicals (EDCs) and related biomarkers-including bisphenols, phthalates, parabens, and substituted phenols-used as model analytes. A systematic solvent and additive screen identified 1 mM ammonium fluoride in methanol and 0.1% ammonium hydroxide in 9:1 MeOH/carbon tetrachloride as optimal conditions, providing enhanced deprotonated-ion intensities and improved stability. Calibration curves generated under these conditions showed excellent linearity, with limits of quantitation (LOQs) in the low-ppb range. Application to cosmetic formulations demonstrated reliable paraben quantitation. In fortified hand cream, LOQs below 1 mg/kg were achieved, with recoveries of 93-110% and intra- and inter-day precision below 10% RSD. Notably, PSI-MS/MS performance was comparable to LC-MS/MS, without a separation step. These results demonstrate the feasibility of optimized negative PSI-MS as a sensitive and robust tool for paraben determination in cosmetics and highlight its potential as a versatile platform for broader EDC quantification.",2025,"Molecules (Basel, Switzerland)",phthalates,unspecified,unspecified,lotion,unspecified,cosmetics product study | skin/topical study | biomonitoring study | analytical/method study,yes,"This paper is relevant because it discusses the analysis of parabens, a type of endocrine-disrupting chemical found in cosmetics, using a specific mass spectrometry technique."
41257473,Evaluation of Three Sample Preparation Methods for LC-HRMS Suspect Screening of Contaminants of Emerging Concern in Effluent Wastewater.,"Suspect screening is a valuable tool for studying the pollution footprint of environmental samples, but the sample preparation (SP) method significantly affects the results. In this study, three SP methods─lyophilization, direct injection, and online solid-phase extraction (SPE)─were evaluated for suspect screening of contaminants of emerging concern (CECs) in effluent wastewater using liquid chromatography-high resolution mass spectrometry (LC-HRMS). LC-HRMS was performed with a Q-ToF mass analyzer in both positive and negative electrospray ionization modes, and pollutants were identified using the NORMAN SusDat database. A total of 119 CECs were identified with high confidence (all above level 2a). Of these, 115 were detected using lyophilization, 37 with direct injection, and 49 with online SPE. Principal component analysis revealed distinct patterns for each SP method. In all cases, the pollution profile was dominated by pharmaceuticals, followed by industrial chemicals. Articaine, a local anesthetic previously unreported in the aquatic environment, was the most abundant compound found. Industrial chemicals included phthalates, flame retardants, benzotriazoles, and perfluoroalkyl substances, among others. The remaining identified CECs were personal care products, pesticides, and drugs of abuse. Compound prioritization, based on abundance, persistence, mobility, bioaccumulation potential, and toxicity, identified the antibiotics clindamycin and tiamulin, the analgesic flufenamic acid, the musk fragrance metabolite galaxolidone, and the antidepressant venlafaxine metabolite, O-desmethyl venlafaxine, as top priority. These results highlight the importance of applying an appropriate SP method to obtain a comprehensive CEC footprint in suspect screening analysis and demonstrate the suitability of lyophilization for wastewater characterization.",2025,Analytical chemistry,phthalates,unspecified,unspecified,unspecified,unspecified,cosmetics product study | industrial/occupational | environmental contamination | analytical/method study,no,"This study evaluates sample preparation methods for detecting contaminants in wastewater, which is not directly related to the health effects of chemical toxicants in cosmetic products."
41201750,Removal of fillers and chemical reagents from waste paper for its sustainable use.,"Waste paper represents a valuable secondary source of cellulose fibres, contributing to the reduction of virgin wood consumption in paper production. To support sustainable development objectives, the integration of natural fibres with synthetic polymers is increasingly explored across industrial sectors. Reliable use of waste paper materials requires baseline data on pollutant content and migration potential. In this study, cellulose fibres were separated using 0.2 M acetic acid (CH<sub>3</sub>COOH) extraction, followed by washing. This method effectively removed precipitated calcium carbonate-based filler from office paper, achieving an extraction efficiency of 86%. A total of 138 compounds were identified in waste paper, originating from: virgin wood (n = 31), paper manufacturing and recycling processes (n = 19 + 15 fragrance compounds), and printing inks (n = 67), with solvents (n = 25) forming the largest subgroup. Additional substances were associated with surface treatments and ink formulations. Compound hazard profiles were assessed using the Globally Harmonized System (GHS). The identified substances were, among others, persistent organic pollutants, including benzophenone, butylated hydroxytoluene, and bis(2-ethylhexyl) phthalate, bisphenol A, and bisphenol S, while solvents exhibited the highest proportion of hazardous classifications. Following CH<sub>3</sub>COOH extraction, concentrations of hazardous solvents were reduced by 93%, indicating the method's potential for pollutant mitigation in fibre recovery.",2025,Environmental science and pollution research international,phthalates,unspecified,unspecified,unspecified,unspecified,industrial/occupational,no,"This paper focuses on the removal of fillers and chemical reagents from waste paper for sustainable use, and does not investigate the health effects of chemical toxicants in cosmetic products."
41138964,"Exposure risks to phthalates by cosmetics and personal care products in pregnant women and early life: Urinary levels, mechanisms, biomarkers, and mitigation strategies: a review.","The increasing use of personal care products (PCPs) and cosmetics have increased the risk of exposure to phthalates, especially in the early stages of life for maternal-fetal-infant. This review aimed to determine the phthalates exposure risk through the consumption of PCPs and cosmetics in Pregnant women and early life, determine the mechanisms, biomarkers, and mitigation strategies for phthalates. The highest phthalates exposure levels of pregnant women (as well as fetal exposure through placenta and infants through breast milk) who used PCPs and cosmetics continuously or in larger quantities, especially lipstick, deodorants, and nail polish, were related to MEP˃ MnBP˃ MEHHP, respectively. The greatest phthalates exposure health risks in early life include hormonal disorders, especially cholesterol, thyroid, estrogen, and androgen, and toxicity to the liver, kidney, and thyroid, skin inflammation and irritation, and reproductive system toxicity, including premature birth and menopause, miscarriage, low birth weight and height, and early puberty. Maternal and placenta hormones disorders, such as gonadotropin-releasing hormone (GnRH) and estrogen, and decreases in steroid hormones such as SHBG (sex-hormone binding globulin) and testosterone, were the main mechanisms for phthalates exposures. Suitable biomarkers for assessing phthalates exposure by PCPs were changes in DNA methylation, placental-derived extracellular vehicles related to microRNAs (EV-miRNAs), maternal glycemia and lipid profiles, and malondialdehyde (MDA) level. Replacing high-risk phthalates with less toxic substances, like citrates, during the PCPs production is a suitable way to lower phthalate exposure. It is recommended that monitoring of phthalates biomarkers in the early years of life in future studies.",2025,Chemico-biological interactions,phthalates,skin | breast | liver | kidney | thyroid | placenta,reproductive toxicity | oxidative stress,lipstick | nail polish | deodorant,unspecified,cosmetics product study | nail product study | biomonitoring study,yes,"This paper reviews the exposure risks to phthalates from cosmetic and personal care products in pregnant women and early life, which directly relates to the health effects of chemical toxicants in cosmetic products."
