pmid,title,abstract,pub_year,journal,toxicant,organs,health_effects,products,ingredients,inference,relevant,relevance_reason
41757426,Evaluation of the Antimicrobial Activity of a 3% Chlorhexidine/Ophytrium Mousse and Shampoo in 18 Healthy Dogs.,"Topical antimicrobial therapy is vital for managing pyoderma yet poor compliance can affect treatment outcomes. To evaluate the antimicrobial activity of a 3% chlorhexidine/ophytrium shampoo at different contact times and the residual activity of a 3% chlorhexidine/ophytrium mousse against meticillin-susceptible and -resistant Staphylococcus pseudintermedius (MSSP and MRSP), Escherichia coli (EC), ESBL-producing E. coli (ESBL), Pseudomonas aeruginosa (PA), and Malassezia pachydermatis (MP) in vitro. 18 privately owned dogs. Dogs were treated once with the shampoo for 3, 5 and 10 min, with hair samples taken after rinsing. The mousse was applied once. Hair samples were collected at 30 min (Day [D]0) and at D2, D4, D7 and D14 post-treatment. Hair bundles were plated on Mueller-Hinton (MH) agar plates pre-inoculated with MSSP, MRSP, EC, ESBL and PA, and on supplemented MH plates pre-inoculated with MP. Zones of inhibition (ZIs) were measured after 24 h (bacteria) and 48 h (MP) incubation. Shampoo-there were no significant differences in antimicrobial activity between the contact times for any of the isolates. Mousse-for all the isolates, there was significant growth inhibition compared to the negative controls on D0, D2 and D4. Hairs exposed to the shampoo and mousse inhibited growth of all the isolates in vitro. A 3 min contact time was noninferior to 10 min for the shampoo. The mousse showed residual activity for ≥ 4 days for MSSP, MRSP, EC, PA and MP.",2026,Veterinary dermatology,siloxanes,unspecified,unspecified,shampoo,unspecified,hair product study | skin/topical study | clinical/hospital study,no,"This paper is about the antimicrobial activity of a shampoo and mousse in dogs, which is unrelated to the health effects of chemical toxicants in cosmetic products."
41185274,Microparticles of buriti oleosomes produced with different wall materials.,"Buriti (Mauritia flexuosa L.f.) is an Amazonian oleaginous palm that yields lipid-rich fruits containing high levels of bioactive compounds, such as monounsaturated fatty acids, tocopherols, sterols, and carotenoids. These bioactives are naturally stored in highly stable structures called oleosomes (OBs), which are intrinsic oil-in-water emulsions stabilized by phospholipids and proteins. Notably, oleosomes can be extracted using aqueous methods, eliminating the need for toxic solvents like hexane and making them suitable for food, cosmetic, and pharmaceutical applications. However, their high moisture content promotes oxidative and microbial degradation, limiting industrial scalability. This study aimed to stabilize buriti oleosomes through spray-drying using hydrocolloid-based wall materials, enhancing their stability, storage potential, and applicability. Oleosomes were mixed with maltodextrin (M), gum arabic (G), modified gum arabic (MG), or their combinations, and spray-dried at 180 °C. The resulting microparticles were evaluated for physicochemical properties, morphology, and stability. OB emulsions exhibited a zeta potential (ζ) above -30 mV and shear-thinning behavior, indicating good electrostatic stability. Encapsulation efficiency ranged from 75.55 % to 96.20 %; moisture content and water activity varied between 2.52 and 3.78 % and 0.12-0.26, respectively. Particle diameter (D<sub>(4,3)</sub>) ranged from 6.88 to 15.84 μm, and glass transition temperatures (Tg) from 103.13 to 118.69 °C. Spray-drying with the selected wall materials effectively reduced the degradation of carotenoids and oxidative markers. Overall, buriti oleosome-based microparticles demonstrate strong potential as stable and natural ingredients for food and cosmetic applications.",2025,"Food research international (Ottawa, Ont.)",siloxanes,unspecified,unspecified,unspecified,vitamin E,cosmetics product study | industrial/occupational | food/dietary exposure,no,"This paper focuses on the stabilization and production of buriti oleosomes for cosmetic, food, and pharmaceutical applications, but it does not investigate the health effects of chemical toxicants in cosmetic products."
40928520,"Pseudoduganella rhizocola sp. nov., Isolated from Rhizospheric Soil.","A novel bacterial strain, SM-13<sup> T</sup> was isolated from the rhizospheric soil of Epipremnum aureum (Jade Pothos) sampled in Suwon, Republic of Korea. The isolate was Gram-stain-negative, aerobic, motile, rod-shaped, cream-coloured, oxidase- and catalase-positive. Strain SM-13<sup> T</sup> grew at the range of 15-37 °C (optimum, 25 °C), at pH 6.0-9.0 (optimum, pH 7.0), and in the presence of 0-0.5% (w/v) NaCl (optimum, 0%). Phylogenetic analysis based on genome and 16S rRNA gene sequences indicated that strain SM-13<sup> T</sup> was affiliated with the family Oxalobacteriaceae and most closely related to Pseudoduganella humi THG S6-8<sup> T</sup> (97.8%), Pseudoduganella violacea CAVIO<sup>T</sup> (97.7%), Pseudoduganella buxea A9<sup>T</sup> (97.6%), Pseudoduganella dura 16<sup> T</sup> (97.5%), Pseudoduganella umbonata LP01<sup>T</sup> (97.5%), and Pseudoduganella lurida D5<sup>T</sup> (97.4%). The major ubiquinone was Q-8. The major identified polar lipids were phosphatidylethanolamine (PE), phosphatidylglycerol (PG), diphosphatidylglycerol (DPG), amino lipids (AL), and unknown lipids (L1, L2). The major fatty acids of SM-13<sup> T</sup> were summed feature 3 (C<sub>16:1</sub> ω7c/C<sub>16:1</sub> ω6c) (51.9%) and C<sub>16: 0</sub> (18.7%). The novel strain SM-13<sup> T</sup> has a draft genome size of 5,401,088 bp (27 contigs), annotated with 4,880 protein-coding genes, 59 tRNA and 2 rRNA genes. The genomic DNA G + C (%) content was 64. Hence, the strain SM-13<sup> T</sup> represent a novel species within the genus Pseudoduganella, for which the name Pseudoduganella rhizocola sp. nov. is proposed. The Type strain is SM-13<sup> T</sup> (= KCTC 8734<sup> T</sup> = TBRC 19389<sup> T</sup> = KEMB 24220<sup> T</sup>). The GenBank/EMBL/DDBJ accession number for the complete 16S rRNA gene and genome sequence of the type strain SM-13<sup> T</sup> is PQ198503 and JBJQIK000000000.",2025,Current microbiology,siloxanes,unspecified,unspecified,unspecified,glycerin,skin/topical study,no,"This paper is about a novel bacterial strain isolated from soil, which is not related to the health effects of chemical toxicants in cosmetic products."
40759082,Indoor Nanoparticle Emissions and Exposures during Heat-Based Hair Styling Activities.,"Heat-based hair styling activities, such as straightening, curling, and waving, emit volatile and semivolatile chemicals when used with hair care products like creams, lotions, and serums. This study investigates the formation of airborne nanoparticles (6-500 nm) during such activities as a previously unrecognized source of indoor air pollution. Experiments conducted in the Purdue zEDGE Test House revealed that hair styling at temperatures above 300 °F produced indoor nanoparticle concentrations ranging from 10,000 to over 100,000 particles cm<sup>-3</sup>, with sub-100 nm particles typically accounting for more than 95% of total number concentrations at temperatures exceeding 360 °F. The primary mechanism for nanoparticle formation was heat-driven volatilization of cyclic siloxanes and various low-volatility constituents in hair care products, followed by nanoparticle nucleation and subsequent growth via condensation and coagulation. Ozonolysis of fragrance additives served as a secondary formation pathway. Respiratory tract deposition modeling indicated that more than 10 billion nanoparticles could deposit in the respiratory system during a single hair styling session, with the highest dose occurring in the pulmonary region. These findings identify heat-based hair styling as a significant indoor source of airborne nanoparticles and highlight previously underestimated exposure risks. This work advances our understanding of the physical and chemical processes underlying emissions from personal care product use and underscores the need for mitigation strategies to reduce exposure in residential environments.",2025,Environmental science & technology,siloxanes,lung | blood,unspecified,unspecified,silicone,cosmetics product study | hair product study | skin/topical study | environmental contamination,no,"This paper focuses on indoor nanoparticle emissions from heat-based hair styling activities, rather than the health effects of chemical toxicants in cosmetic products themselves."
40508558,Most Important Biomedical and Pharmaceutical Applications of Silicones.,"Many kinds of silicones are a wide family of hybrid inorganic-organic polymers which have valuable physical and chemical properties and find plenty of practical applications, not only industrial, but also numerous medical and pharmaceutical ones, mainly due to their good thermal and chemical stability, hydrophobicity, low surface tension, biocompatibility, and bio-durability. The important biomedical applications of silicones include drains, shunts, and catheters, used for medical treatment and short-term implants; inserts and implants to replace various body parts; treatment, assembly, and coating of various medical devices; breast and aesthetic implants; specialty contact lenses; and components of cosmetics, drugs, and drug delivery systems. The most important achievements concerning the biomedical and pharmaceutical applications of silicones, their copolymers and blends, and also silanes and low-molecular-weight siloxanes have been summarized and updated. The main physiological properties of organosilicon compounds and silicones, and the methods of antimicrobial protection of silicone implants, have also been described and discussed. The toxicity of silicones, the negative effects of breast implants, and the environmental effects of silicone-containing personal care and cosmetic products have been reported and analyzed. Important examples of the 3D printing of silicone elastomers for biomedical applications have been presented as well.",2025,"Materials (Basel, Switzerland)",siloxanes,breast | liver,unspecified,unspecified,silicone,cosmetics product study | industrial/occupational,yes,"This paper is relevant because it mentions the use of silicones in cosmetic products, which are a type of chemical toxicant found in cosmetic products."
40315978,Case studies using the probabilistic aggregate consumer exposure model (PACEM) for cosmetics ingredient safety assessment.,"Case studies for cosmetic ingredients propyl paraben, salicylic acid, methyl salicylate, D5 and methylisothiazolinone have been used to assess the functionality and performance of the online webtool PACEM (Probabilistic Aggregate Consumer Exposure Model), which is free and publicly available. PACEM can be used by a consumer safety assessor to estimate consumer aggregate exposures (from cosmetic and household care products) to a single ingredient present in multiple product types, used simultaneously by a consumer in any one day. In this evaluation, only cosmetic product exposure assessment has been reviewed. The tool uses probabilistic mathematical modelling approaches, incorporating survey data on the habits and practices of product use from different European populations. The model is used by an exposure assessor to generate either a) an external exposure dose metric (mg/kg/day), b) an internal systemic exposure dose (SED) metric (mg/kg/day) or c) a dermal load (μg/cm<sup>2</sup>). The case studies performed, indicate that PACEM is a useful tool for the cosmetics safety assessor, and generates credible outputs for regulatory dossier submissions.",2025,Regulatory toxicology and pharmacology : RTP,siloxanes,skin,unspecified,unspecified,salicylic acid,cosmetics product study | epidemiological study | food/dietary exposure,yes,"This paper uses the probabilistic aggregate consumer exposure model (PACEM) to assess the safety of cosmetic ingredients, which is directly related to the health effects of chemical toxicants in cosmetic products."
40174251,Volatile methylsiloxanes in beauty and personal care products sold in India and human exposure assessment.,"This study investigated the presence of cyclic and linear volatile methylsiloxanes in 174 beauty and personal care products (PCPs) sold in India. Siloxanes were detected in all the samples with a detection frequency of 20 to 99 %. The cyclic siloxanes viz. decamethylcyclopentasiloxane (D5) and dodecamethylcyclohexasiloxane (D6) were predominant in all the samples, and the total concentration of cyclic siloxanes was as high as 773,000 μg g<sup>-1</sup>. About 40 % of the samples exceeded the European Union guideline value (0.1 %) for wash-off and leave-on products. The estimated per-capita run-off emissions of total siloxanes from beauty and PCPs were between 158,000 and 2,680,000 μg day<sup>-1</sup> (average: 988,000 μg day<sup>-1</sup>). Hair serum, makeup remover, body wash, face wash, and shaving foam showed higher average per-capita run-off emissions for total siloxanes (range: 2950 to 505,000 μg day<sup>-1</sup>). The estimated per-capita air emissions of siloxanes were between 42,600 to 1,950,000 μg day<sup>-1</sup> (average: 551,000 μg day<sup>-1</sup>). Hair serums, moisturizers, deodorants, foundation, primers, lip colour, makeup removers, and aftershaves were the major contributors to air emissions (0.44 to 56.3 %). The average dermal and inhalation exposure to siloxanes from using beauty and PCPs was 4020 and 642 μg kg-bw<sup>-1</sup> day<sup>-1</sup>, respectively. The average daily dermal and inhalation doses for ∑octamethylmethycyclotertrasiloxane (D4) + D5 were 16.9 and 172 μg kg-bw<sup>-1</sup> day<sup>-1</sup>, respectively, which is higher than the chronic reference dose for inhalation exposure. Among the studied siloxanes, cyclic siloxanes predominantly contributed to consumer exposure from applying beauty and PCPs.",2025,The Science of the total environment,siloxanes,skin | blood,unspecified,face wash | moisturizer | foundation | deodorant | body wash,silicone,cosmetics product study | skin/topical study | biomonitoring study,yes,"This paper investigates the presence of volatile methylsiloxanes in beauty and personal care products, which are chemical toxicants found in cosmetic products, making it relevant to the study."
40102325,"A first- time study of cyclic volatile methylsiloxanes in wastewater, sludge, lagoon water, sediments and fishes from Africa.","Cosmetic and personal care products are used throughout the world in large quantities. Siloxanes are commonly used in the formulation of these products. The use of these products releases siloxane into the environment. This study quantifies for the first time in Africa specifically in Lagos Nigeria, the amount of two cyclicvolatile methylated siloxane (cVMS) compounds namely octamethylcyclotetrasiloxane (D4) and decamethylcyclopentasiloxane (D5) in wastewater and sludge from industries, water, sediments and fishes from the Lagoon. The samples obtained were extracted and analyses were performed using gas chromatography-mass spectrometry (GC-MS). Results showed higher concentrations of D5 compared with D4 across all sample types. Using the estimated daily intake (EDI) and hazard quotient (HQ) to assess the health risks showed minimal risk to adults and children consuming fish from the lagoon. However, biota-sediment accumulation factor (BSAF) and bioaccumulation factor (BAF) exceeded their benchmark values of 1.7 and 5000 respectively for most of the fishes at all the sites showing bioaccumulation potential at these sites for D4 and D5. This study underscores the need for sustainable practices to mitigate cVMS contamination in Nigeria's aquatic systems.",2025,Environmental monitoring and assessment,siloxanes,unspecified,unspecified,unspecified,silicone,cosmetics product study | environmental contamination | food/dietary exposure | analytical/method study,yes,"This paper is relevant because it investigates the presence of chemical toxicants (cyclic volatile methylsiloxanes) in cosmetic products and their environmental impact, which can have health effects on humans."
39306995,"Investigating the impact of static destabilization mechanism on fat crystallization dynamics, emulsion rheology, and whipping properties of whipping cream.","In this work, the effect of storage time on the fat crystallization, rheological and whipping characteristics of emulsions was studied and the static destabilization mechanism during storage was explored. As the storage time prolonged, peak melting temperature and onset of melting temperature increased while both the crystallization temperature and crystallization rate increased. Crystal birefringence was more pronounced at the oil/water interface accompanied by the desorption of interfacial proteins from fat droplets. The droplet size (d<sub>4,3</sub>) began to increase significantly (p < 0.05) from the 5th month. The viscosity and the elastic modulus increased from 505.2 mPa·s to 908.4 mPa·s, and from 23.53 Pa to 51.38 Pa, respectively, as storing from 1st to 7th month. The whipping time decreased while the partial coalescence rate increased from 50.84 % to 65.34 %. The whipped cream at the 3rd month exhibited a smooth surface, whereas a rough surface and lost gloss was observed at the 7th month.",2025,Food chemistry,siloxanes,unspecified,unspecified,unspecified,unspecified,skin/topical study,no,"This paper is about the metabolic pathway of L-borneol in a plant, which is not related to the health effects of chemical toxicants in cosmetic products."
38988634,Transcriptome analysis revealed the role of moderate exogenous methyl jasmonate treatments in enhancing the metabolic pathway of L-borneol in the <i>Blumea balsamifera</i>.,"<i>Blumea balsamifera</i> L. (Ainaxiang) DC. is a perennial herb of the compositae family. It is also the primary source of natural borneol. Endo-borneol, the principal medical active element in <i>B. balsamifera</i>, is anti-inflammatory, antioxidant, and analgesic; enhances medicine absorption; refreshes; and is used as a spice and in cosmetic. Industrialization of <i>B. balsamifera</i> is limited by its low L-borneol concentration. Thus, understanding the accumulation pattern of the secondary metabolite endo-borneol and its synthesis process in secondary metabolism is critical for increasing <i>B. balsamifera</i> active ingredient content and cultivation efficiency. In this work, <i>B. balsamifera</i> was treated with varying concentrations (1.00 and 10.00 mmol/L) of methyl jasmonate (MeJA) as an exogenous foliar activator. The physiological parameters and L-borneol concentration were then assessed. Transcriptome sequencing of <i>B. balsamifera</i>-induced leaves was used to identify key genes for monoterpene synthesis. The treatment effect of 1 mmol/L MeJA was the best, and the leaves of all three leaf positions accumulated the highest L-borneol after 120 h, correspondingly 3.043 mg·g<sup>-1</sup> FW, 3.346 mg·g<sup>-1</sup> FW, and 2.044 mg·g<sup>-1</sup> FW, with significant differences from the control. The main assembly produced 509,285 transcripts with min and max lengths of 201 and 23,172, respectively. DEG analysis employing volcano blots revealed 593, 224, 612, 2,405, 1,353, and 921 upregulated genes and 4, 123, 573, 1,745, 766, and 763 downregulated genes in the treatments D1_1vsCK, D1_10vsCK, D2_1vsCK, D2_10vsCK, D5_1vsCK, and D5_10vsCK. Interestingly, when exposed to MeJA treatments, the MEP pathway's unigenes express themselves more than those of the MVA route. Finally, when treated with 1 mmol/L, the genes <i>DXR</i>, <i>DXS</i>, and <i>GPS</i> showed increased expression over time. At the same time, a 10 mmol/L therapy resulted in elevated levels of <i>ispH</i> and <i>GGPS</i>. Our preliminary research indicates that exogenous phytohormones can raise the level of L borneol in <i>B. balsamifera</i> (L.) DC when given in the appropriate amounts. The most significant discovery made while analyzing the effects of different hormones and concentrations on <i>B. balsamifera</i> (L.) DC was the effect of 1 mmol/L MeJA treatment.",2024,Frontiers in plant science,siloxanes,unspecified,oxidative stress,unspecified,unspecified,cosmetics product study | industrial/occupational,no,"This paper is about the metabolic pathway of L-borneol in a plant, which is not related to the health effects of chemical toxicants in cosmetic products."
