pmid,title,abstract,pub_year,journal,toxicant,organs,health_effects,products,ingredients,inference,relevant,relevance_reason
41649178,Patterns of Sensitization and Cross-Reactivity in Hair Dye Allergy: An 18-Year Tertiary-Center Experience from Greece.,"<u><b><i>Abstracts:</i></b></u> <u><b><i>Background:</i></b></u> Hair dye-related allergic contact dermatitis (ACD) is a common problem among both consumers and professionals. The main sensitizers are aromatic amines such as para-phenylenediamine (PPD) and toluene-2,5-diamine (TDA), which can also cross-react with chemically related compounds.<u><b><i>Objective:</i></b></u> To analyze patch-test results from patients with suspected hair dye-related ACD, focusing on the prevalence of sensitization to hair dye allergens, cross-reactivity patterns, and occupational differences.<u><b><i>Methods:</i></b></u> We retrospectively reviewed 666 patients patch-tested between 2005 and 2023 at the Patch Test Clinic of Andreas Sygros Hospital, Athens, Greece. All patients were tested with the European baseline and extended hairdresser series. Results were evaluated according to the International Contact Dermatitis Research Group and European Society of Contact Dermatitis criteria. Logistic regression was used to calculate odds ratios for co-sensitization, adjusted for sex and age.<u><b><i>Results:</i></b></u> Overall, 82.4% of patients reacted to at least 1 allergen, with a median of 3 positive reactions. PPD was the most frequent allergen (47.9%), followed by TDA (35.9%) and nickel (41.1%). Significant co-sensitization was observed between PPD and several chemically related compounds, including 4-aminophenol, 3-aminophenol, benzocaine, textile dyes, hydroquinone, and pyrogallol (<i>P</i> < 0.001). Similar associations were observed for TDA. Hairdressers were younger (mean 32.2 vs 40.7 years, <i>P</i> < 0.001) and had predominantly hand dermatitis (62.9%). Patients reacting to multiple hair dye components were significantly more likely to be sensitized to PPD. Co-sensitization between PPD and cocamidopropyl betaine likely reflected cosmetic co-exposure rather than structural cross-reactivity.<u><b><i>Conclusions:</i></b></u> PPD and TDA remain the dominant sensitizers in hair dye-related ACD, with strong cross-reactivity to aminophenols, benzocaine, and textile dyes. Extended patch testing is essential for accurate diagnosis, as 7% of para-amino-compound-sensitized patients would be missed by PPD testing alone. Occupational exposure and multi-allergen sensitization highlight the need for safer formulations and preventive strategies in hair dye use.",2026,"Dermatitis : contact, atopic, occupational, drug",toluene,immune system,skin sensitization | oxidative stress,hair dye,unspecified,cosmetics product study | hair product study | clinical/hospital study | epidemiological study | industrial/occupational,,
41529636,Toluene bioconversion into ectoines by halophile mixed microbial cultures.,"Toluene, which has been listed in the Pollutant Release and Transfer Register (PRTR) of many countries, is one of the most emitted pollutants to the atmosphere. This study demonstrates for the first time a new perspective in toluene treatment based on its continuous bioconversion into high-value chemicals, specifically ectoine and hydroxyectoine, which hold considerable commercial relevance in the cosmetic industry with market prices reaching 1000 € kg<sup>-1</sup>. Specific ectoine and hydroxyectoine contents of 27.3 mg g<sub>TSS</sub><sup>-1</sup> were achieved together with toluene elimination capacities of 7.2 ± 1.9 g m<sup>-3</sup> h<sup>-1</sup> and a maximum biomass concentration of 1.8 g L<sup>-1</sup>. Ectoine synthesis predominated initially, later shifting toward hydroxyectoine, reaching a combined amount of 71.2 mg L<sup>-1</sup> (ectoine:hydroxyectoine 32:68) by the end of the assay. Metagenomic analysis revealed key pathways and taxa involved in toluene degradation and ectoine and hydroxyectoine synthesis. Members of Paenibacillus, Rhodococcus and Microbacterium were identified as possessing the enzymes required for toluene degradation via the TOL pathway, while Gordonia, the most abundant genus, was primarily associated with the degradation of intermediates such as benzoate, muconate, or oxoadipate derivatives and their bioconversion into ectoine. These findings revealed a potential metabolically diverse consortium with functional complementarities, where metabolic synergies overcome species-specific limitations and promote the elimination and subsequent valorization of toluene into high-value products fostering sustainable industrial innovation.",2026,Journal of hazardous materials,toluene,unspecified,unspecified,unspecified,unspecified,cosmetics product study | industrial/occupational,,
41205894,Extending the chemical space in human urine by target and suspect screening of persistent and mobile organic compounds.,"Human exposure to persistent and mobile organic compounds (PMOCs) remains understudied due to analytical challenges. This study analysed 150 urine samples from a university community using a ""dilute-and-shoot"" approach followed by mixed-mode liquid chromatography-high-resolution mass spectrometry. Target analysis revealed 7 PMOCs with quantification frequencies above 70 %, including sweeteners aspartame (99 %) and saccharin (85 %), while cyclamate exhibited the highest concentrations (GM: 1782 ng/mL) despite lower detection frequency (21 %). Risk assessment indicated no health concerns for sweeteners; however, 17 % of participants showed potential risks from N-desmethyl-acetamiprid, a neonicotinoid metabolite. Among industrial chemicals, toluene-4-sulfonamide was highly prevalent (>90 %) and showed indications of potential risk in 24 % of cases, though this compound was only semi-validated. Multiple linear regression (MLR) confirmed univariate findings, such as elevated aspartame levels in students, and additionally uncovered additional associations. Notably, alcohol consumption, caffeine intake, and personal care product use were positively linked to increased industrial PMOC concentrations, highlighting complex exposure determinants shaped by lifestyle factors. Suspect screening annotated 60 additional compounds, predominantly industrial chemicals, including intermediates and fragrance components, and 7 were confirmed by analytical standards. Caffeine was detected in 79 % of samples, with older participants exhibiting higher exposure, while younger participants showed elevated levels of some fragrances. Moreover, negative associations of caffeine with smoking and plastic use, and positive associations of aniline with caffeine intake were elucidated. Overall, the integration of targeted and non-targeted screening with MLR modelling elucidated intricate exposure patterns influenced by demographic and behavioural factors, significantly advancing the characterization of the polar spectrum of the human exposome.",2026,"Environmental pollution (Barking, Essex : 1987)",toluene,unspecified,unspecified,unspecified,unspecified,cosmetics product study | biomonitoring study | industrial/occupational | analytical/method study,,
40992720,"Update to RIFM fragrance ingredient safety assessment, 4-isopropyl-2-methoxy-1-methylbenzene, CAS Registry Number 6379-73-3.",,2025,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,toluene,unspecified,unspecified,unspecified,unspecified,unclassified,,
40790705,"Efficient production of 3,6-anhydro-l-galactose from red algal neoagarobiose by whole-cell biocatalysis of recombinant Corynebacterium glutamicum.","3,6-Anhydro-l-galactose (AHG) is a potent food and cosmetic ingredient affecting the anticariogenic and anti-melanogenic activities of red algal polysaccharides. For efficient AHG production instead of enzymatic process, whole-cell biocatalyst of recombinant Corynebacterium glutamicum CG-H4-NABH with an α-neoagarobiose hydrolase (NABHase) dividing red algal neoagarobiose (NAB) to AHG and d-galactose was developed. To prepare high concentration of the biocatalyst, fed-batch cultivation of CG-H4-NABH yielded 71.8 g/L dry cell mass and 58.9 U/mL NABHase activity. For efficient transport and hydrolysis of NAB and elevating AHG production, the CG-H4-NABH cells permeabilized by toluene showed 37 times higher activity than the untreated cells. After seven cycles of repeated whole-cell reaction, the permeabilized-immobilized cells exhibited a 3.6 times higher NAB-hydrolyzing rate and a 1.6-fold higher cumulative AHG concentration than the permeabilized free-cells. Conclusively, the whole-cell biocatalysis using C. glutamicum could serve as an efficient and alternative process for production of monosaccharides by disaccharide hydrolysis.",2025,"Food research international (Ottawa, Ont.)",toluene,unspecified,unspecified,unspecified,unspecified,cosmetics product study,,
40552464,"Contact Allergens in ""PPD-Free"" Hair Dyes.","<u><b><i></i></b></u><u><b><i>Background:</i></b></u> Hair dyes are a commonly used cosmetic product and an important cause of allergic contact dermatitis (ACD). Primary hair dye agents, paraphenylenediamine (PPD) and other aromatic amines, are potent contact sensitizers. Despite some hair dyes being advertised as all natural or allergen-free, patients still present with hair dye contact allergy following the use of these products. We hypothesized that these products may contain cross-reactive ingredients not tested on standard series or undisclosed ingredients such as trace amounts of the allergens.<u><b><i>Objective:</i></b></u> We aimed to test hair dyes marketed and sold in the United States as ""PPD-free"" for the presence and quantity of common hair dye allergens and ingredients, including p-phenylenediamine, m-aminophenol, p-aminophenol, toluene-2,5-diamine sulfate, 2-nitro-p-phenylenediamine, and 2-hydroxy-1,4-naphthoquinone.<u><b><i>Methods:</i></b></u> We tested best-selling hair dyes advertised as ""PPD-free"" for common allergens through high-performance liquid chromatography coupled to high-resolution mass spectrometry.<u><b><i>Results:</i></b></u> In 7 out of 51 hair dye products, we detected a compound that was not present on the ingredient list. Five products contained PPD despite no mention of PPD on the ingredient list and 4 being labeled ""PPD-free."" One of these products contained PPD levels higher than 2% by weight, while the rest contained trace levels.<u><b><i>Conclusions:</i></b></u> These findings may help guide dermatologists in counseling patients with ACD about the importance of performing allergy alert testing before the use of a new hair dye product, regardless of how it is commercially advertised or labeled.",2025,"Dermatitis : contact, atopic, occupational, drug",toluene,immune system,skin sensitization,hair dye,unspecified,cosmetics product study | hair product study | clinical/hospital study | analytical/method study,,
40327457,Evaluation of chemical exposures generated from n-free nail polishes.,"Nail polishes contain over a dozen chemical compounds, including chemicals that can cause adverse reproductive outcomes and pose a risk to the high proportion of nail salon workers who are women of childbearing age. Consumer demand has resulted in a shift toward more natural products, with manufacturers attempting to remove harmful ingredients (n-free products). Many products that claim to have eliminated toluene, formaldehyde, and dibutyl phthalate (DBP) are labeled as ""3-free""; however, studies have found these products often contain higher concentrations of toluene and DBP compared to products with no such claims. Products used only at salons are not required to list ingredients, leading to uncertainties as to the exact chemical composition and potential exposures. A better understanding of chemical exposures associated with nail polish products is necessary to understand potential worker exposures and develop effective control options. This study evaluated chemical exposures generated while painting nails with 20 n-free polishes using real-time and time-integrated air sampling. Total volatile organic compounds (TVOCs, PID, ION Science Inc.) and 22 individual compounds (FTIR, Gasmet Technologies) were measured in the breathing zone of the manicurist while two coats of polish were applied to artificial nails on a manikin in an exposure chamber and for 2 hr afterwards. Formaldehyde and toluene were measured in all polishes using the real-time FTIR, despite all claiming to be 3-free. Normalized geometric mean (GM) formaldehyde exposures from the FTIR ranged from 0.021 to 0.273 ppm/g, GM toluene exposures ranged from 0.068 to 0.534 ppm/g, and GM benzene exposures ranged from 0.076 to 0.752 ppm/g. Notably, formaldehyde, toluene, and benzene exposures did not significantly differ between different products. Neither DBP nor triphenyl phosphate (TPhP) was detected in any of the polishes. This study highlights that despite industry claims, n-free polishes may still contain chemicals associated with negative health effects and that more studies are necessary to understand the true chemical exposures of nail salon workers.",2025,Journal of occupational and environmental hygiene,toluene,unspecified,unspecified,nail polish,unspecified,nail product study | industrial/occupational,,
40224916,"Nail Polishes: A Review on Composition, Presence of Toxic Components, and Inadequate Labeling.","Nail polishes were developed in 1920, and since 1940, it has been known that these cosmetics contain toxic and sensitizing components. Over the years, nail polishes have undergone several changes in their formulation to avoid this problem, but new components have also been considered toxic and allergenic. The growing demand for gel nails has also been highlighted in cases of allergy to (meth)acrylates, and the biggest concern that was previously related to the presence of toluene sulfonamide-formaldehyde resin (TSFR) in traditional nail polish formulations is now also part of (meth)acrylate-based cosmetics. The beautification caused by nail polish is the main factor behind its constant use throughout the world, but studies have demonstrated its use for other purposes, such as treating fungal diseases, sun protection factor in cancer patients, and as a possible ally in forensic area. This review brings the beginning of the discovery of nail polish and its trajectory to the present day, including its effects on health and its inadequate labeling. Therefore, it is extremely important that legislation monitors the composition of nail cosmetics and that new formulations are studied to make them safe for health and the environment.",2025,Dermatology research and practice,toluene,immune system,carcinogenicity,sunscreen | nail polish,unspecified,cosmetics product study | sunscreen/UV filter study | nail product study | clinical/hospital study,,
39859811,Textronic Sensors of Hazardous Gaseous Substances.,"Toxic materials are a threat in workplaces and the environment, as well as households. In them, gaseous substances are included, especially ones without any colour or fragrance, due to their non-detectability with the human senses. In this article, an attempt was made to find a solution for its detection in various conditions with the use of intelligent textiles. The approach was to perform modification on fifteen materials by screen printing using carbon nanotubes paste with expanded graphite and embroidery with stainless steel thread and then investigate their reaction with risky gases such as acetone, methanol and toluene. Four combinations of samples were tested: before tests, after the washing test and after the alkaline and acidic sweat contact test. Three materials can be highlighted. Para-aramid knitwear which reacted well to all tested gases. The biggest value of sensory percentage response was 144%. Screen-printed linen knitwear showed properly detecting skills after washing test for toluene. The biggest value of sensory percentage response was noted at 186%. The third most promising material was low surface mass cotton knitwear with embroidery which had a visible response at every stage of testing for acetone. The biggest value of sensory percentage response was 94% and the smallest one was 27%. For these three materials, repeated contact with harmful gases was tested. Simulations showed also repeated responses expressed in changes in surface resistance under changed conditions. After analysis, there is a possibility to create textile sensors for the detection of hazardous substances.",2025,"Materials (Basel, Switzerland)",toluene,unspecified,unspecified,unspecified,unspecified,industrial/occupational,,
37968497,Controlled swelling of biomaterial devices for improved antifouling polymer coatings.,"Nonspecific interactions between cells and implantable elastomers often leads to failure modes for devices such as catheters, cosmetic and reconstructive implants, and sensors. To reduce these interactions, device surfaces can be coated with hydrophilic polymers, where greater polymer density enhances antifouling properties. Although graft-from coating techniques result in higher density polymer films and lower fouling in controlled settings, simpler graft-to methods show similar results on complex implanted devices, despite limited density. To address the need for improved graft-to methods, we developed Graft then shrink (GtS) where elastomeric materials are temporarily swollen during polymer grafting. Herein, we demonstrate a graft-to based method for poly(oligo(ethylene glycol) methyl ether methacrylate) (pOEGMA) on swollen silicone, GtS, that enhances grafted polymer content and fouling resistance. Total grafted polymer content of pOEGMA on toluene swollen silicone increased over ~ 13 × compared to non-swollen controls, dependent on the degree of silicone swelling. Increases in total grafted polymer within the top 200 µm of the material led to bacterial and mammalian cell adhesion reductions of 75% and 91% respectively, compared to Shrink then Graft (StG) antifouling polymer coated controls. GtS allows for the simple 3D coating of swellable elastomers (e.g., silicone medical devices) with improved antifouling pOEGMA coatings.",2023,Scientific reports,toluene,unspecified,unspecified,unspecified,silicone,cosmetics product study,,
37890789,"BTEX in indoor air of barbershops and beauty salons: Characterization, source apportionment and health risk assessment.","Volatile organic compounds, mainly BTEX, are among the pollutants of concern in beauty salons and barbershops that threaten both staff personnel and clients' health. This study aimed to determine the concentration of BTEX in barbershops and beauty salons and assess the carcinogenic and non-carcinogenic risks based on the actual risk coefficients. Also, possible sources of BTEX were determined. Samples were collected by passive sampling. Quantitative and qualitative measurements of BTEX compounds were performed using gas chromatography-mass spectrometry (GC-MASS). Subsequently, the health risks were assessed according to the US Environmental Protection Agency. SPSS24 software and positive matrix factorization (PMF) analysis were used for statistical analysis and source apportionment respectively. Toluene is the most abundant compound in beauty salons, with a maximum concentration of 219.4 (μg/m<sup>3</sup>) in beauty salons. Results indicated that the mean ELCR value estimated for benzene regarding female staff exposure (1.04 × 10<sup>-5</sup>) was higher than that for men (4.05 × 10<sup>-6</sup>). Also, ELCR values of ethylbenzene for staff exposure were 2.08 × 10<sup>-6</sup> and 3.8 × 10<sup>-6</sup> for men and women, respectively, and possess possible carcinogenesis risks. Use of solvents and cosmetic products, improper heating systems, and type of service are the sources that probably contribute to BTEX emissions in beauty salons. It is necessary to follow health guidelines and conduct continuous monitoring for their implementation, in addition to setting a mandated occupational regulation framework or air quality requirements, to improve the health conditions in beauty salons.",2023,Chemosphere,toluene,unspecified,carcinogenicity,unspecified,unspecified,cosmetics product study | industrial/occupational | analytical/method study,,
37709066,"Volatile organic compounds emitted by conventional and ""green"" cleaning products in the U.S. market.","Exposure to cleaning products has been associated with harm to the respiratory system, neurotoxicity, harm to the reproductive system, and elevated risk of cancer, with greatest adverse impacts for workers exposed in an occupational setting. Social and consumer interest in cleaning products that are safer for health created a market category of ""green"" products defined here as products advertised as healthier, non-toxic, or free from harmful chemicals as well as products with a third-party certification for safety or environmental features. In the present study we examined the air quality impacts of cleaning products and air fresheners, measuring the number, concentrations, and emission factors of volatile organic compounds (VOCs) in an air chamber following product application. Across seven common product categories, 30 products were tested overall including 14 conventional, 9 identified as ""green"" with fragrance, and 7 identified as ""green"" and fragrance-free. A total of 530 unique VOCs were quantified with 205 additional VOCs detected below the limits of quantification. Of the quantifiable VOCs, 193 were considered hazardous according to either the California's Department of Toxic Substances Control Candidate Chemicals List or the European Chemical Agency's Classification and Labeling Inventory. The total concentration of VOCs and total emission factors across all products with detections ranged from below limits of detection to 18,708 μg/m<sup>3</sup>, 38,035 μg/g product and 3803 μg/application. Greater total concentration, total emission factors, and numbers of VOCs were generally observed in conventional cleaning products compared to products identified as ""green"", particularly compared to fragrance-free products. A hazard index approach was utilized to assess relative risk from measured VOC emissions. The five products with the highest hazard indices were conventional products with emissions of 2-butoxyethanol, isopropanol, toluene and chloroform. Overall, this analysis suggests that the use of ""green"" cleaning products, especially fragrance-free products, may reduce exposure to VOC emissions.",2023,Chemosphere,toluene,brain | lung,carcinogenicity | neurotoxicity,unspecified,unspecified,industrial/occupational,,
37546223,The alkoxy radical polymerization of <i>N</i>-vinylpyrrolidone in organic solvents: theoretical insight into the mechanism and kinetics.,"Poly(<i>N</i>-vinylpyrrolidone) (PVP) is a polymer with many applications in cosmetic, pharmaceutical, and biomedical formulations due to its minimal toxicity. PVP can be synthesized through radical polymerization in organic solvents; this well-known industrial process is thoroughly characterized experimentally, however, quantum chemical modeling of the process is scarce: the mechanism and kinetics have not been thoroughly investigated yet. In this work, the mechanism and kinetics of the alkoxy radical polymerization of <i>N</i>-vinylpyrrolidone in organic solvents, namely isopropanol (IP) and toluene (TL), were successfully modeled by computational chemistry. The initiator radicals di-<i>tert</i>-butyl peroxide (TBO˙) and dicumyl peroxide (CMO˙) as well as the solvents isopropanol and toluene, were shown to be capable of assisting in the initiation reactions. The rate constant was influenced by the combination of initiators and solvent and the values of the rate constant of propagation were approximately 10<sup>1</sup>-10<sup>3</sup> M<sup>-1</sup> s<sup>-1</sup>. The radical polymerization of NVP with dicumyl peroxide as an initiator was comparable to that of di-<i>tert</i>-butyl peroxide in all of the examined organic solvents, whereas the solvents had less of an effect.",2023,RSC advances,toluene,unspecified,unspecified,unspecified,unspecified,cosmetics product study | industrial/occupational,,
37315639,Contact allergy to ingredients of hair cosmetics in female hairdressers and female consumers-An update based on IVDK data 2013-2020.,"Hair cosmetic products contain several, partly potent contact allergens, including excipients like preservatives. Hand dermatitis in hairdressers is common, scalp and face dermatitis in clients or self-users (summarised here as 'consumers') may be severe. To compare frequencies of sensitization to hair cosmetic ingredients and other selected allergens between female patch tested patients working as hairdressers and consumers without professional background, respectively, who were tested for suspected allergic contact dermatitis to such products. Patch test and clinical data collected by the IVDK (https://www.ivdk.org) between 01/2013 and 12/2020 were descriptively analysed, focusing on age-adjusted sensitization prevalences in the two subgroups. Amongst the 920 hairdressers (median age: 28 years, 84% hand dermatitis) and 2321 consumers (median age: 49 years, 71.8% head/face dermatitis), sensitization to p-phenylenediamine (age-standardised prevalence: 19.7% and 31.6%, respectively) and toluene-2,5-diamine (20 and 30.8%) were most common. Contact allergy to other oxidative hair dye ingredients was also more commonly diagnosed in consumers, whereas ammonium persulphate (14.4% vs. 2.3%) and glyceryl thioglycolate (3.9 vs. 1.2%) as well as most notably methylisothiazolinone (10.5% vs. 3.1%) were more frequent allergens in hairdressers. Hair dyes were the most frequent sensitizers both in hairdressers and in consumers; however, as indication for patch testing may differ, prevalences cannot directly be compared. The importance of hair dye allergy is evident, often with marked coupled reactivity. Workplace and product safety need to be further improved.",2023,Contact dermatitis,toluene,immune system,skin sensitization,hair dye,unspecified,cosmetics product study | hair product study | clinical/hospital study | epidemiological study | industrial/occupational,,
37297548,Gas Phase Emissions of Volatile Organic Compounds Arising from the Application of Sunscreens.,"The speciation of volatile organic compounds (VOCs) emitted from personal care products (PCPs) is complex and contributes to poor air quality and health risks to users via the inhalation exposure pathway. Detailed VOC emission profiles were generated for 26 sunscreen products; consequently, variability was observed between products, even though they were all designed for the same purpose. Some were found to contain fragrance compounds not labelled on their ingredients list. Five contaminant VOCs were identified (benzene, toluene, ethylbenzene, o-xylene, and p-xylene); headspace sampling of an additional 18 randomly selected products indicated that ethanol originating from fossil petroleum was a potential source. The gas phase emission rates of the VOCs were quantified for 15 of the most commonly emitted species using SIFT-MS. A wide range of emission rates were observed between the products. Usage estimates were made based on the recommended dose per body surface area, for which the total mass of VOCs emitted from one full-body application dose was in the range of 1.49 × 10<sup>3</sup>-4.52 × 10<sup>3</sup> mg and 1.35 × 10<sup>2</sup>-4.11 × 10<sup>2</sup> mg for facial application (men aged 16+; children aged 2-4). Depending on age and sex, an estimated 9.8-30 mg of ethanol is inhaled from one facial application of sunscreen.",2023,International journal of environmental research and public health,toluene,unspecified,unspecified,sunscreen,unspecified,cosmetics product study | sunscreen/UV filter study,,
36462477,Trace determination of prohibited acrylamide in cosmetic products by vortex-assisted reversed-phase dispersive liquid-liquid microextraction and liquid chromatography-tandem mass spectrometry.,"An analytical method for the determination of residual acrylamide in cosmetic products containing potential acrylamide-releasing ingredients is presented. The method is based on vortex-assisted reversed-phase dispersive liquid-liquid microextraction (VA-RP-DLLME) to extract and preconcentrate acrylamide by using water as extraction solvent taking advantage the highly polar behavior of this analyte, followed by liquid chromatography-tandem mass spectrometry (LC-MS/MS) for its determination. Under optimized conditions (5 mL toluene as supporting solvent, 50 µL of water as extraction solvent, 1 min for vortex extraction time) the method was properly validated obtaining good analytical features (linearity up to 20 ng mL<sup>-1</sup>, method limits of detection and quantification of 0.51 and 1.69 ng g<sup>-1</sup>, respectively, enrichment factor of 52, and good repeatability (RSD < 4.1%)). The proposed analytical method was applied to the determination of acrylamide in commercial samples that were weighed and dispersed in the minimum quantity of methanol (50 µL) by vortex stirring before applying the VA-RP-DLLME procedure. Through the pretreatment of the sample and the use of acrylamide-d<sub>3</sub> as surrogate, the matrix effect was overcome, obtaining good relative recovery values (88-108%). The proposed method has shown efficacy, simplicity, and speed, and it allows the determination of acrylamide at trace levels easily, which could make it very useful for companies in the quality control of cosmetic products containing potential acrylamide-releasing ingredients to fulfill the safety limits imposed by European Regulation.",2023,Journal of chromatography. A,toluene,unspecified,unspecified,unspecified,unspecified,cosmetics product study | analytical/method study,yes,"This paper presents an analytical method for detecting acrylamide in cosmetic products, which is a chemical toxicant of concern."
36254351,Systematic review on skin adverse effects of important hazardous hair cosmetic ingredients with a focus on hairdressers.,"The burden of occupational hand eczema in hairdressers is high, and (partly strong) allergens abound in the hair cosmetic products they use. To systematically review published evidence concerning contact allergy to an indicative list of active ingredients of hair cosmetics, namely, p-phenylenediamine (PPD), toluene-2,5-diamine (PTD), persulfates, mostly ammonium persulfate (APS), glyceryl thioglycolate (GMTG), and ammonium thioglycolate (ATG), concerning the prevalence of sensitization, particularly in terms of a comparison (relative risk; RR) between hairdressers and non-hairdressers. Following a PROSPERO-registered and published protocol, eligible literature published from 2000 to February 2021 was identified, yielding 322 publications, and extracted in standardized publication record forms, also considering risk of bias. Based on 141 publications, the contact allergy prevalence to PPD was 4.3% (95% CI: 3.8-4.9%) in consecutively patch tested patients. Other ingredients were mostly tested in an aimed fashion, yielding variable, and partly high contact allergy prevalences. Where possible, the RR was calculated, yielding an average increased sensitization risk in hairdressers of between 5.4 (PPD) and 3.4 (ATG). Additional evidence related to immediate-type hypersensitivity, experimental results, exposures, and information from case reports was qualitatively synthesized. An excess risk of contact allergy is clearly evident from the pooled published evidence from the last 20 years. This should prompt an improvement in working conditions and product safety.",2023,Contact dermatitis,toluene,skin | immune system,skin sensitization,unspecified,unspecified,cosmetics product study | clinical/hospital study | epidemiological study | industrial/occupational,yes,"This paper reviews the skin adverse effects of hazardous hair cosmetic ingredients, which is relevant to the health effects of chemical toxicants in cosmetic products."
35526733,"Update to RIFM fragrance ingredient safety assessment, p-(2,2-dimethoxyethyl)toluene, CAS Registry Number 42866-91-1.",,2022,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,toluene,unspecified,unspecified,unspecified,unspecified,unclassified,no,"This paper appears to be an update to a fragrance ingredient safety assessment, which is not directly related to the health effects of chemical toxicants in cosmetic products."
