pmid,title,abstract,pub_year,journal,toxicant,organs,health_effects,products,ingredients,inference,relevant,relevance_reason
41667583,Urinary levels of phenolic compounds in women working in beauty salons.,"Several researches have reported considerable levels of phnolic compounds (bisphenol A (BPA), benzophenones (BP-1, BP-3) and triclosan (TCS)) in cosmetic/beauty products. However, there is limited data regarding the exposure of female beauticians to harmful substances. The present research aimed to evaluate the exposure of female salon workers to these pollutants by quantifying their urinary levels. To achieve this, 50 female beauticians were selected as the exposed group (EG) and a control group (CG) consisting of 35 housewives. Urine specimens were collected and analyzed by chromatographic techniques to determine the pollutants content. It was found that all pollutants (BPA, BP-1, BP-3 and TCS) were frequently detected in the urine samples of female beauticians. It was also observed that the levels of these contaminants in the samples collected from this occupational group was significantly higher than housewives (P<sub>value</sub> < 0. 05). The median of urinary BPA, BP-1, BP-3 and TCS concentrations for exposed subjects before the shift were 4.76, 2.57, 2.1 and 8.75 ng/mL, respectively. However, higher levels of these compounds were found in urine samples collected after the shift with medians of 5.25, 3.1, 2.65 and 11.96 ng/mL, respectively. For control group, these records were 1.66, 0.76, 0.22 and 2.12 ng/mL, respectively. Based on multiple linear regression (MLR) test, it was also showed that ""cosmetic products usage"" and ""personal protective equipment (PPE)"" are leadings factors contributing to the levels of BPA, BP-1, BP-3 and TCS detected in the urine of the female beauticians. These observations underscore the urgent necessity for more severe regulations and improved safety protocols to minimize exposure to hazardous chemicals in beauty salon settings.",2026,Scientific reports,triclosan,unspecified,unspecified,unspecified,unspecified,cosmetics product study | biomonitoring study | industrial/occupational | analytical/method study,,
41645464,The evolution of chemical risk in a Chinese river catchment exposed to untreated wastewater.,"The risks posed by chemicals released with domestic wastewater can be reduced by treating wastewater prior to its release; but in developing countries such as China, many of its settlements lack the infrastructure to treat its domestic wastewater. Improving our understanding of the risk posed by these chemicals in catchments that are partially served by sewage treatment works would enable this risk to be better managed. The spatially explicit chemical risk assessment model, Geo-referenced Regional Exposure Assessment Tool for European Rivers (GREAT-ER), was used to determine how chemical risk varies across the East River catchment, South-East China, in response to the construction of new sewage treatment works and to population change between 2010 through 2020. We evaluated the risks from two naturally occurring estrogens, estrone and 17β-estradiol, as well as two personal care product ingredients, triclosan and triclocarban. Model predictions suggest that initially, chemical concentrations decrease substantially because of the rapid construction of new sewage treatment works throughout the catchment, but as the rate of construction slowed and population continued to increase, chemical risk increased, with concentrations for most chemicals increasing to levels greater than in 2010. We then explored the potential impact of treating 100% of domestic wastewater within the catchment, which we estimated would sufficiently reduce chemical risk for triclocarban and estrone. Subsequently, to try and reduce the risk posed by triclosan, we theoretically reduced the usage of triclosan until concentrations were reduced to levels below the predicted no effect concentration. The results from this analysis suggested that triclosan usage would need to be reduced by approximately 90% to reach safe concentrations in the East River catchment.",2026,Environmental toxicology and chemistry,triclosan,unspecified,unspecified,unspecified,unspecified,cosmetics product study | environmental contamination,,
41512651,Nontarget screening and suspect identification of organic chlorinated compounds in cosmetics and personal care products using UHPLC-Q-Orbitrap-HRMS.,"Organic chlorinated compounds have been extensively incorporated into cosmetics and personal care products (CPCPs) as germicides, surfactants, and oil-controlling agents, leading to potential human exposure and associated health risks. However, available research has mostly been limited to several chlorinated compounds in CPCPs, e.g., triclosan and triclocarban. In this study, an integrated analytical framework was established combining isotope-pattern-based nontarget screening with database-assisted suspect identification to comprehensively characterize organic chlorinated compounds in CPCPs. The framework was successfully validated by screening and identification of chlorinated compounds in children's skincare products for sale in China. A total of 227 chlorinated compounds were tentatively identified, including 3 confidence level (CL)1, 9 CL2, 93 CL3, and 122 CL4 compounds with RDBE values of 0 - 29 and molecular masses of 128 - 931 Da. Heterocyclics and ethers were predominant among the CL1-CL3 compounds. Chlorhexidine was quantified maximally at 0.456 %. Triclosan, elubiol, and 4-chloroaniline were also detected in at least one product although they have been banned in skincare products. Overall, the results demonstrated robustness of the comprehensive analytical framework in identifying and characterizing chlorinated compounds in CPCPs. In addition, this research shed light on potential exposure of young children to a cocktail of chlorinated compounds, underscoring urgent need for strict regulations of chemical addition and transparent ingredient labeling to ensure safe use of CPCPs.",2026,Journal of chromatography. A,triclosan,skin,unspecified,unspecified,unspecified,cosmetics product study | analytical/method study,,
41451673,Elevated Exposure to Pharmaceutical and Personal Care Products Increases Hyperlipidemia Risk: The Mediating Effect of Thyroid Hormones.,"Epidemiological evidence of the association between pharmaceutical and personal care product (PPCP) exposure and hyperlipidemia risk remains limited. In 2021, a case-control study was conducted in China, involving 103 participants with hyperlipidemia and 419 healthy controls, to investigate the effects of PPCP exposure on hyperlipidemia risk and the mediating roles of thyroid hormones. Among the individual PPCP, 4-hydroxybenzophenone showed the strongest association with hyperlipidemia risk (OR: 1.52; 95% CI: 1.01, 2.28), followed by triclosan (OR: 1.38; 95% CI: 1.01, 1.89). Mixture exposure levels of PPCP above the 50th percentile were associated with an elevated risk of hyperlipidemia, with 2,4-dihydroxybenzophenone (BP-1) contributing most to the risk, followed by ethyl-protocatechuate. Significant mediating effects of free-triiodothyronine were observed in the relationships between triclosan, BP-1, and ΣPPCP exposure, and hyperlipidemia, with the mediated proportions of 12.19, 12.86, and 11.66%, respectively. These findings indicated that thyroid hormones played an important mediating role in the association and deserve more attention. Network toxicology models suggested that inhibiting lipolysis, promoting oxidative stress, and inflammatory responses may be potential biological mechanisms of PPCP-induced hyperlipidemia. For the first time, we identified the mediating effect of thyroid hormones on the association between PPCP exposure and hyperlipidemia risk, providing valuable insights into the mechanism for further toxicology studies.",2026,Environmental science & technology,triclosan,thyroid,oxidative stress | thyroid disruption,unspecified,unspecified,cosmetics product study | epidemiological study,,
41307807,Endocrine-disrupting chemicals in cosmetics: mechanistic insights and their impact on human and skin health.,"The increasing use of cosmetics and therapeutic products has raised concerns about their effects on skin health and overall well-being. This review focuses on the toxicological impact of cosmetic ingredients, particularly endocrine-disrupting chemicals (EDCs) such as benzophenones, triclosan, phthalates, and parabens. Frequently present in skincare, haircare, and cosmetic products, these compounds have been associated with adverse outcomes, including carcinogenesis, skin disorders, hormonal imbalances, and reproductive health issues. Despite extensive research on parabens, phthalates, triclosan, and benzophenones, significant uncertainties persist, underscoring the need for further investigation to understand previous findings better. To mitigate these risks, the review recommends adopting safer alternatives, increasing consumer awareness, and enforcing stricter regulatory measures. This comprehensive analysis aims to bridge existing knowledge gaps, empower consumers to make informed choices, and advocate for strict safety standards in personal care products to safeguard skin health and support long-term well-being.",2025,Reviews in endocrine & metabolic disorders,triclosan,skin,carcinogenicity,unspecified,unspecified,cosmetics product study | clinical/hospital study,,
40820178,The Role of Endocrine Disrupting Chemicals in the Development of Atherosclerosis.,"Endocrine disrupting chemicals (EDCs) are exogenous compounds that interfere with the normal functioning of the endocrine system. This effect is crucial for maintaining hormonal balance and regulating various physiological processes. Phthalates, parabens, and triclosan are EDCs found in many personal care products (make-up, shampoo, perfume, shaving foam, moisturizing cream, hair dyes, deodorant), plastics, pesticides, pharmaceuticals, and household cleaning products, and can be inhaled or absorbed by the body through inhalation or skin contact. Atherosclerosis is a major cause of cardiovascular diseases, including coronary artery disease, stroke, and peripheral artery disease. While traditional risk factors for atherosclerosis, such as high cholesterol, hypertension, and smoking, have been extensively studied, emerging evidence suggests that EDCs may also play a significant role in the development and progression of atherosclerosis. Several potential mechanisms have been proposed to explain how EDCs contribute to atherosclerosis. One mechanism involves the activation of nuclear receptors, such as peroxisome proliferator-activated receptors (PPARs) and estrogen receptors (ERs), by EDCs. Activation of these receptors can lead to dysregulation of lipid metabolism, inflammation, and oxidative stress, all of which are key processes in atherosclerosis development. EDCs have been shown to disrupt endothelial function through various mechanisms. Some of these mechanisms are the formation of reactive oxygen species (ROS) and free oxygen radicals, and impaired nitric oxide (NO) production by EDCs. This literature review aims to explore the current understanding of the role of EDCs in atherosclerosis.",2025,Cardiovascular toxicology,triclosan,skin | heart,endocrine disruption | oxidative stress,moisturizer | shampoo | hair dye | deodorant | perfume,unspecified,cosmetics product study | hair product study | skin/topical study,,
40755525,Molecular mechanisms of non-pharmaceutical chemicals exposure-induced liver injury: a network toxicology approach.,"The exposure to non-pharmaceutical chemicals has been increasingly associated with liver injury, yet the underlying molecular mechanisms remain unclear. This study investigates the impact of three such chemicals-sunset yellow (SUN), tartrazine (TART), and triclosan (TRI)-on human HepaRG cells to elucidate potential toxicological targets and pathways. We conducted differential expression analysis on HepaRG cells exposed to SUN, TART, and TRI, identifying differentially expressed genes (DEGs). Intersection analyses were performed to uncover common targets, followed by heatmap visualization and enrichment analyses using GO and KEGG pathways. Protein-protein interaction (PPI) and immune cell infiltration analyses further elaborated the effects, complemented by molecular docking studies to assess chemical binding affinities. Our findings identified 47 upregulated and 123 downregulated DEGs as common targets across all chemical exposures. Enrichment analysis revealed significant alterations in biological processes related to liver metabolism and development. Four core toxic targets (KNG1, PLG, SERPINE1, SERPINF2) were identified with significant connectivity in PPI analysis, confirmed by altered gene expression. Immune cell infiltration analysis indicated modulation of various immune cell populations. The molecular docking study highlighted strong binding of TART and SUN to PLG, suggesting a potential mechanism of liver injury. This study provides insights into the molecular mechanisms of liver injury induced by non-pharmaceutical chemical exposure, identifying key toxicological targets and pathways. The results suggest that chemicals like SUN and TART can significantly alter liver function through specific gene expression changes and immune modulation, offering potential biomarkers and therapeutic targets for mitigating such toxic effects.",2025,Toxicology research,triclosan,liver | immune system,unspecified,unspecified,unspecified,clinical/hospital study | biomonitoring study | no cosmetics context,,
40281023,Antimicrobial potential of essential oil from Pinus caribaea var. hondurensis (P. caribaea) sap.,"The majority of hand sanitizers now in use include synthetic fragrances and chemical additives that pose substantial risks to human health and the environment. Ingredients like triclosan are linked to carcinogenesis, endocrine disruption, allergies, and antimicrobial resistance. This study aims to determine the constituents in pine (Pinus caribaea (P. caribaea) var. hondurensis sap and extract essential oil to be assessed for its bioactive components and antibacterial potential. Phytochemical screening of the sap was done using a qualitative method and the sap was found to contain flavonoids and alkaloids while tannins, anthraquinones and saponins were absent. Essential oil was obtained from the P. caribaea sap using the hydro-distillation process. In the GC-MS analysis that was carried out on the essential oil, it was found that the oil contained 23 bioactive compounds with the highest concentration being Sabinen (34.24%), β-Pinene (24.82%) and α-Thujene (11.5%). Other compounds such as Anethole, Linalool, Isolongifolol acetate, Camphene, Cyclopentene, γ-Terpinen, Fenchol, allo-Ocimene, Isopulegol, Levomenthol, Borneol, Citronellol, α-Longipinene and Caryophyllene were present in relatively small amounts. Assessment of the agar plates revealed that the essential oil did not show inhibitory activity to Escherichia coli (wild), E. coli (ATCC 25,922), Staphylococcus aureus (wild), S. aureus (ATCC 25,923), Pseudomonas aeruginosa (wild) and P. aeruginosa (ATCC 27,853). Whereas the essential oil did not show inhibitory activity, more studies should be carried out to evaluate the potential of essential oil from Pinus sap in the cosmetic and pharmaceutical sectors.",2025,Scientific reports,triclosan,immune system,endocrine disruption | carcinogenicity,unspecified,unspecified,cosmetics product study | analytical/method study,,
40279685,Population-specific exposure risks from parabens and antimicrobials in cosmetics and personal care products: Insights from Korean usage patterns.,"The use of cosmetics and personal care products (CPCPs) is a significant source of human exposure to endocrine disrupting chemicals (EDCs). However, few studies have investigated EDC exposure through CPCP use based on realistic exposure factors of diverse population groups. In this study, 13 parabens and two antimicrobial agents were measured in 261 CPCPs categorized as leave-on, rinse-off, and baby care products. Methylparaben and propylparaben were the most prevalent parabens. Triclocarban was frequently found in rinse-off products, while triclosan was rarely detected, likely due to regulatory measures. Population-specific exposure assessments were conducted using measured EDC concentrations and exposure factors derived from surveys of 1,001 adults, 322 teenagers, and 719 mother-infant pairs in Korea. Dermal exposure doses (DEDs) of parabens were estimated at 11.4, 25.8, 25.1 and 0.03 µg/kg/day for males, females, mothers, and infants, respectively. For antimicrobial agents, DEDs were 0.20, 0.28, and 0.98 µg/kg/day for males, females, and mothers, respectively. Females had higher DEDs of parabens than males in both adults and teenagers, and mothers had higher DEDs of triclocarban. These findings emphasized the need to consider population-specific characteristics in exposure assessments. High-exposure scenarios resulted in DEDs 4-5 times higher than general-exposure scenarios. Skin care products, sunscreens, body and hand lotions were major contributors to paraben exposure, highlighting the need for targeted management to mitigate exposure from these products. This study provides realistic exposure data that can serve as a valuable reference for managing CPCP ingredients, particularly parabens and antimicrobial agents.",2025,Environment international,triclosan,skin,endocrine disruption,sunscreen | lotion,unspecified,cosmetics product study | sunscreen/UV filter study | skin/topical study | epidemiological study,,
39613177,Contaminants of emerging concern in an endangered population of common eiders (Somateria mollissima) in the Baltic Sea.,"Contaminants of emerging concern (CECs) are ubiquitous in aquatic environments and pose a range of biological effects including endocrine disruption. Yet, knowledge of their occurrence in wildlife including seabirds remains scarce. We investigated the occurrence of selected bisphenols, benzophenones, phthalate metabolites, benzotriazoles, benzothiazoles, parabens, triclosan, and triclocarban in plasma of 18 breeding female common eiders (Somateria mollissima) from an endangered population in the Baltic Sea as most of these CECs have never before been examined in eiders. We sampled blood at the start (T1) and end (T2) of incubation to investigate concentration changes during incubation. As early- and late-breeding eiders tend to differ in how they finance reproduction (local vs stored nutrient reserves), we compared early and late breeders to assess whether CEC concentrations differed by breeding phenology. Of the 58 targeted CECs, 21 were detected in at least one female, with bisphenol A (BPA) and benzophenone-3 (BzP-3) occurring most frequently (T1: 78% and 61%; T2: 61% and 67%, respectively), while mono(2-ethyl-1-hexyl) phthalate (mEHP), BPA, and monoethyl phthalate (mEP) were detected in the highest concentrations (median concentrations 27.1, 12.7, and 11.2 ng/g wet weight, respectively, at T1). No CEC concentrations differed between early and late incubation. Late breeders had significantly higher concentrations of BzP-3, monomethyl phthalate (mMP), and mEP during early incubation (4.55 vs 1.24 ng/g ww, 7.05 vs 3.52, and 11.2 vs < limit of detection (LOD), respectively) and significantly higher concentrations of mMP and mEP during late incubation (6.16 vs <LOD and 7.51 vs <LOD, respectively) than early breeders. We showed that early and late breeders exhibited differential exposure to CECs. Our results support the need for long-term monitoring of CECs in eiders. Furthermore, it is important to examine these CECs in the eiders' prey species from their wintering and breeding grounds.",2025,"Environmental pollution (Barking, Essex : 1987)",triclosan,blood,endocrine disruption,unspecified,unspecified,no cosmetics context,,
